indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
3070;MADRID (P.SINDICAL)                ;;1;710;1242;559;588;2383;96;100;17;3123;28079;436715;4479240;436715;4479240;-34447;402739;-34452;402734;;;;;;436606;4479033;
3071;SANTILLANA MANZANARES              ;;1;56;1242;508;905;;10;10;0;3117;28082;426826;4508894;426826;4508894;-35159;404337;-35204;404333;;;;;;426717;4508687;
3072;CASAS EULOGIOS                     ;INT 1931                                                              ;0;1189;1242;582;535;;20;26;0;3127;28123;452915;4463960;452915;4463960;-33315;401927;-33320;401923;;;;;;452805;4463752;
3075;SANTILLANA SAMBURIEL               ;;1;46;93;508;925;;10;10;0;3118;28023;422190;4505805;422190;4505805;-35515;404156;-35520;404151;;;;;;422081;4505598;
3080;MASEGOSO                           ;;1;658;2601;512;869;1367;60;60;39;3131;19172;525695;4519115;525695;4519115;-24143;404919;-24148;404915;DATOS MODIFICADOS DE 04/1983 Y 02/2001 RESPECTO A PUBLICADOS (ANUARIO 2012-13)                      ;;;;;525586;4518907;
3082;ORUSCO                             ;;1;2029;2601;583;615;1367;97;106;44;3147;28102;483594;4461803;483594;4461803;-31135;401821;-31140;401817;DATOS MODIFICADOS DE 10/1915, 05/1972 Y 12/1976 RESPECTO A PUBLICADOS (ANUARIO 2012-13)             ;;;;;483485;4461595;
3083;BAYONA                             ;INT 1931                                                              ;0;2614;2601;606;508;;17;22;0;3147;28052;453990;4443015;453990;4443015;-33224;400808;-33229;400804;;;;;;453880;4442807;
3100;VILLALBA                           ;;1;234;1703;533;850;2181;52;51;27;3166;28047;415044;4498174;415044;4498174;-40016;403746;-40021;403741;;;;;;414935;4497967;
3101;CAZALEGAS                          ;;1;3997;4104;602;375;;9;8;0;3238;45045;353597;4430565;353597;4430565;-44255;400043;-44260;400039;;;;;;353487;4430358;
3102;BARGAS                             ;;1;1353;1703;629;475;2181;43;43;18;3174;45019;411682;4427757;411682;4427757;-40204;395941;-40209;395937;;;;;;411572;4427550;AR20
3103;BATRES                             ;;1;962;1703;581;542;;11;11;0;3172;28017;419663;4452782;419663;4452782;-35643;401311;-35644;401311;;;;;;419553;4452575;
3110;HOYO CASERO                        ;SIN DATOS                                                             ;0;274;4104;555;1314;;0;3;0;3206;5101;332460;4474130;332460;4474130;-45827;402401;-45831;402357;;;;;;332350;4473923;
3111;BURGUILLO                          ;INT 1980                                                              ;0;1050;4104;557;655;2198;45;46;13;3210;5241;369125;4476455;369125;4476455;-43234;402540;-43238;402536;;;;;;369015;4476248;
3112;SAN JUAN                           ;INT 1980                                                              ;0;1911;4104;557;520;2198;38;41;8;3220;28133;388895;4469970;388895;4469970;-41831;402220;-41836;402216;;;;;;388785;4469763;
3113;PICADAS, LAS                       ;INT 1980                                                              ;0;2008;4104;580;469;2198;23;23;0;3220;28133;393835;4465580;393835;4465580;-41459;401960;-41504;401956;;;;;;393725;4465373;
3114;PUENTE NUEVO (C.DEL CURA)          ;INT 1980                                                              ;0;1055;4104;557;620;2198;22;22;0;3210;5241;372700;4476115;372700;4476115;-43002;402531;-43007;402527;;;;;;372590;4475908;
3115;CAZALEGAS=BAJO ALBERCHE            ;INT 1980                                                              ;0;3993;4104;602;375;2198;32;32;0;3238;45045;354505;4430920;354505;4430920;-44217;400055;-44222;400051;;;;;;354395;4430713;
3117;BARRAGO                            ;INT 1918                                                              ;0;33496;71364;626;372;;7;14;0;3239;45165;340090;4424390;340090;4424390;-45219;395714;-45223;395710;;;;;;339980;4424183;
3127;ROSARITO                           ;INT 1980                                                              ;0;1754;4507;600;287;2437;52;59;1;3280;45125;302030;4442750;302030;4442750;-51922;400640;-51927;400636;;;;;;301921;4442543;
3128;TORREJON-TIETAR                    ;INT 1980                                                              ;0;4505;4507;623;208;2592;19;19;0;3296;10190;754874;4414444;241465;4414567;-60117;395028;-60122;395024;;;;;;241356;4414361;
3129;RISCO DEL GATO                     ;INT 1917                                                              ;0;33490;71364;626;384;;6;6;0;3239;45165;338985;4426080;338985;4426080;-45307;395808;-45312;395804;;;;;;338875;4425873;
3140;CORIA                              ;INT 1986                                                              ;0;4015;5385;621;224;2425;22;22;10;3360;10067;711365;4428730;199003;4431751;-63129;395854;-63134;395850;;;;;;198894;4431545;
3141;GUIJO DE GRANADILLA                ;INT 1964                                                              ;0;1871;5385;575;335;;23;27;0;3346;10090;743490;4453185;232716;4453990;-60823;401135;-60828;401131;;;;;;232607;4453784;
3142;GABRIEL Y GALAN                    ;INT 1980                                                              ;0;1848;5385;575;321;2425;32;32;0;3346;10090;744115;4456445;233563;4457203;-60752;401320;-60757;401316;;;;;;233454;4456997;
3143;VALDEOBISPO                        ;INT 1980                                                              ;0;2449;5385;597;262;2425;21;21;0;3350;10202;732665;4441115;221097;4442675;-61616;400515;-61621;400511;;;;;;220988;4442469;
3144;VILLAR, EL                         ;;1;386;394;575;352;2395;50;50;29;3347;10090;746789;4450918;235853;4451505;-60607;401018;-60612;401014;;;;;;235744;4451299;
3145;CANDELARIO                         ;INT 1921                                                              ;0;37;239;553;990;;10;13;0;3335;37046;266275;4472785;266275;4472785;-54510;402220;-54515;402216;;;;;;266166;4472578;
3146;TORNO, EL                          ;;1;313;637;598;380;2395;43;50;19;3353;10184;249042;4444481;249042;4444481;-55640;400645;-55645;400641;;;;;;248933;4444275;AR42
3147;GALISTEO (JERTE)                   ;;1;631;637;622;258;2395;56;56;36;3353;10076;733014;4429508;220663;4431068;-61616;395859;-61621;395854;;;;;;220554;4430862;
3148;BORBOLLON                          ;INT 1980                                                              ;0;329;1022;596;290;1367;43;52;10;3363;10171;706350;4444670;195071;4448003;-63442;400735;-63447;400731;;;;;;194962;4447797;
3149;ALMOGUERA                          ;;1;7880;71364;584;575;;11;11;0;3059;19021;502821;4456978;502821;4456978;-25805;401541;-25805;401541;;;;;;502711;4456770;AR08
3151;CASTREJON                          ;INT 1980                                                              ;0;27482;71364;656;413;2430;21;21;0;3183;45133;389895;4410095;389895;4410095;-41712;394959;-41716;394955;;;;;;389785;4409888;
3152;VALDECAÑAS                         ;INT 1980                                                              ;0;36513;71364;652;250;2430;22;22;0;3259;10197;276325;4406585;276325;4406585;-53642;394645;-53647;394641;;;;;;276216;4406379;
3153;VALDEPEÑAS DE LA SIERRA            ;;1;1620;11597;485;695;2430;49;49;31;3076;28107;460720;4524390;460720;4524390;-32758;405208;-32803;405204;;;;;;460611;4524182;
3154;RIOSEQUILLO                        ;INT 1980                                                              ;0;385;983;484;965;2430;23;23;0;3071;28027;444800;4537005;444800;4537005;-33922;405854;-33927;405850;;;;;;444691;4536798;
3155;PUENTES VIEJAS                     ;INT 1980                                                              ;0;675;983;484;920;2430;23;23;0;3073;28902;451935;4538345;451935;4538345;-33417;405939;-33422;405935;;;;;;451826;4538137;
3156;ATAZAR, EL                         ;INT 1980                                                              ;0;923;983;485;750;2430;16;16;0;3075;28107;460250;4529320;460250;4529320;-32819;405448;-32824;405444;;;;;;460141;4529112;
3157;VELLON, EL                         ;INT 1980                                                              ;0;210;330;509;770;2106;19;19;0;3077;28108;447335;4512130;447335;4512130;-33726;404528;-33730;404524;;;;;;447226;4511923;
3158;HUERMECES                          ;;1;419;487;461;870;1409;49;49;26;3090;19147;516810;4545795;516810;4545795;-24800;410345;-24804;410341;;;;;;516701;4545587;
3159;MURIEL                             ;;1;439;547;485;850;2036;50;50;32;3102;19262;483497;4537769;483497;4537769;-31146;405925;-31151;405921;;;;;;483388;4537561;
3161;ARENAS DE SAN PEDRO                ;;1;730;4507;601;367;2188;53;53;31;3268;45130;325878;4446776;325878;4446776;-50239;400909;-50244;400905;;;;;;325768;4446569;
3162;MORALEJA                           ;;1;388;450;596;252;1492;50;50;21;3368;10128;696768;4432056;184652;4436052;-64140;400054;-64145;400050;;;;;;184544;4435846;
3163;PIEDRAS ALBAS                      ;;1;887;1294;648;172;;49;48;25;3378;10008;672712;4409381;159104;4415026;-65856;394858;-65901;394854;;;;;;158996;4414820;
3164;VILLASEQUILLA DE YEPES             ;;1;1265;1315;630;509;829;43;43;23;3156;45197;437667;4414721;437667;4414721;-34344;395246;-34349;395242;;;;;;437557;4414513;
3165;VALVERDE DE LOS ARROYOS            ;;1;284;547;459;1062;;10;10;0;3102;19311;483827;4553958;483827;4553958;-31139;410806;-31138;410806;;;;;;483718;4553750;
3168;MONROY                             ;;1;787;3110;679;315;1601;37;37;12;3308;10195;246224;4394787;246224;4394787;-55730;393952;-55734;393948;;;;;;246115;4394581;AR50
3169;MEMBRIO                            ;;1;2058;2116;676;149;710;53;53;22;3392;10119;672137;4382627;156738;4388341;-65945;393431;-65950;393427;;;;;;156630;4388135;
3170;PUENTES VIEJAS MADARQUILLOS        ;;1;88;169;458;960;;10;10;0;3072;28114;451004;4542775;451004;4542775;-33458;410202;-33503;410158;;;;;;450895;4542567;
3171;PUENTES VIEJAS LA NAVA             ;;1;69;71;458;945;;10;10;0;3819;28078;451530;4541745;451530;4541745;-33435;410129;-33440;410125;;;;;;451421;4541537;
3172;HUETE                              ;;1;430;1059;585;757;1181;52;52;25;3051;16112;526590;4446972;526590;4446972;-24116;401019;-24121;401015;;;;;;526480;4446764;
3173;PERALEJA, LA                       ;;1;253;404;586;780;1191;52;51;28;3052;16156;538595;4457191;538595;4457191;-23246;401549;-23251;401545;;;;;;538485;4456983;
3174;PUENTE TITULCIA                    ;;1;8890;11597;605;498;;12;12;0;3128;28040;450631;4443307;450631;4443307;-33446;400817;-33451;400812;;;;;;450521;4443099;
