date,storage,type
2019-02-15,5.07,2
2019-02-16,5.27,2
2019-02-17,5.46,2
2019-02-18,5.65,2
2019-02-19,5.82,2
2019-02-20,5.97,2
2019-02-21,6.11,2
2019-02-22,6.25,2
2019-02-23,6.38,2
2019-02-24,6.5,2
2019-02-25,6.62,2
2019-02-26,6.75,2
2019-02-27,,2
2019-02-28,,2
2019-03-01,,2
2019-03-02,6.98,2
2019-03-03,6.96,2
2019-03-04,6.93,2
2019-03-05,6.95,2
2019-03-06,6.98,2
2019-03-07,7.03,2
2019-03-08,7.06,2
2019-03-09,7.06,2
2019-03-10,7.05,2
2019-03-11,7.02,2
2019-03-12,7.02,2
2019-03-13,7.02,2
2019-03-14,7.01,2
2019-03-15,7.0,2
2019-03-16,7.02,2
2019-03-17,7.03,2
2019-03-18,7.03,2
2019-03-19,7.05,2
2019-03-20,7.05,2
2019-03-21,7.05,2
2019-03-22,7.05,2
2019-03-23,7.05,2
2019-03-24,7.04,2
2019-03-25,7.02,2
2019-03-26,7.01,2
2019-03-27,7.04,2
2019-03-28,7.06,2
2019-03-29,7.06,2
2019-03-30,7.06,2
2019-03-31,7.07,2
2019-04-01,7.08,2
2019-04-02,7.06,2
2019-04-03,7.05,2
2019-04-04,7.04,2
2019-04-05,7.02,2
2019-04-06,7.02,2
2019-04-07,7.03,2
2019-04-08,7.03,2
2019-04-09,7.03,2
2019-04-10,7.03,2
2019-04-11,7.03,2
2019-04-12,7.02,2
2019-04-13,7.02,2
2019-04-14,7.01,2
2019-04-15,7.01,2
2019-04-16,7.01,2
2019-04-17,7.0,2
2019-04-18,7.0,2
2019-04-19,7.06,2
2019-04-20,7.39,2
2019-04-21,7.61,2
2019-04-22,7.76,2
2019-04-23,7.89,2
2019-04-24,7.93,2
2019-04-25,7.93,2
2019-04-26,8.07,2
2019-04-27,7.99,2
2019-04-28,7.84,2
2019-04-29,7.63,2
2019-04-30,7.53,2
2019-05-01,7.42,2
2019-05-02,7.29,2
2019-05-03,7.2,2
2019-05-04,7.18,2
2019-05-05,7.15,2
2019-05-06,7.1,2
2019-05-07,7.08,2
2019-05-08,7.06,2
2019-05-09,7.03,2
2019-05-10,7.04,2
2019-05-11,7.05,2
2019-05-12,7.05,2
2019-05-13,7.05,2
2019-05-14,7.05,2
2019-05-15,7.04,2
2019-05-16,7.02,2
2019-05-17,7.04,2
2019-05-18,7.08,2
2019-05-19,7.09,2
2019-05-20,7.09,2
2019-05-21,7.09,2
2019-05-22,7.08,2
2019-05-23,7.07,2
2019-05-24,7.05,2
2019-05-25,7.04,2
2019-05-26,7.03,2
2019-05-27,7.01,2
2019-05-28,7.02,2
2019-05-29,7.03,2
2019-05-30,7.04,2
2019-05-31,7.05,2
2019-06-01,7.05,2
2019-06-02,7.05,2
2019-06-03,7.06,2
2019-06-04,7.05,2
2019-06-05,7.05,2
2019-06-06,7.05,2
2019-06-07,7.05,2
2019-06-08,7.05,2
2019-06-09,7.04,2
2019-06-10,7.04,2
2019-06-11,7.03,2
2019-06-12,7.02,2
2019-06-13,7.02,2
2019-06-14,7.01,2
2019-06-15,7.0,2
2019-06-16,6.99,2
2019-06-17,6.98,2
2019-06-18,6.97,2
2019-06-19,6.95,2
2019-06-20,6.94,2
2019-06-21,6.94,2
2019-06-22,6.92,2
2019-06-23,6.91,2
2019-06-24,6.9,2
2019-06-25,6.89,2
2019-06-26,6.89,2
2019-06-27,6.88,2
2019-06-28,6.87,2
2019-06-29,6.86,2
2019-06-30,6.85,2
2019-07-01,6.84,2
2019-07-02,6.83,2
2019-07-03,6.82,2
2019-07-04,6.82,2
2019-07-05,6.81,2
2019-07-06,6.81,2
2019-07-07,6.8,2
2019-07-08,6.8,2
2019-07-09,6.82,2
2019-07-10,6.82,2
2019-07-11,6.82,2
2019-07-12,6.82,2
2019-07-13,6.82,2
2019-07-14,6.82,2
2019-07-15,6.82,2
2019-07-16,6.82,2
2019-07-17,6.82,2
2019-07-18,6.81,2
2019-07-19,6.81,2
2019-07-20,6.81,2
2019-07-21,,2
2019-07-22,,2
2019-07-23,,2
2019-07-24,6.79,2
2019-07-25,6.8,2
2019-07-26,6.79,2
2019-07-27,6.81,2
2019-07-28,6.81,2
2019-07-29,6.81,2
2019-07-30,6.8,2
2019-07-31,6.8,2
2019-08-01,6.79,2
2019-08-02,6.79,2
2019-08-03,6.78,2
2019-08-04,6.78,2
2019-08-05,6.77,2
2019-08-06,6.76,2
2019-08-07,6.76,2
2019-08-08,6.75,2
2019-08-09,6.74,2
2019-08-10,6.73,2
2019-08-11,6.72,2
2019-08-12,6.71,2
2019-08-13,6.7,2
2019-08-14,6.7,2
2019-08-15,6.69,2
2019-08-16,6.67,2
2019-08-17,6.67,2
2019-08-18,6.66,2
2019-08-19,6.65,2
2019-08-20,6.64,2
2019-08-21,6.63,2
2019-08-22,6.62,2
2019-08-23,6.62,2
2019-08-24,6.61,2
2019-08-25,6.6,2
2019-08-26,6.59,2
2019-08-27,6.59,2
2019-08-28,6.59,2
2019-08-29,6.58,2
2019-08-30,6.6,2
2019-08-31,6.6,2
2019-09-01,6.6,2
2019-09-02,6.59,2
2019-09-03,6.59,2
2019-09-04,6.58,2
2019-09-05,6.58,2
2019-09-06,6.57,2
2019-09-07,6.57,2
2019-09-08,6.56,2
2019-09-09,6.55,2
2019-09-10,6.55,2
2019-09-11,6.54,2
2019-09-12,6.54,2
2019-09-13,6.54,2
2019-09-14,6.53,2
2019-09-15,6.53,2
2019-09-16,6.65,2
2019-09-17,6.69,2
2019-09-18,6.69,2
2019-09-19,6.78,2
2019-09-20,6.82,2
2019-09-21,6.86,2
2019-09-22,6.93,2
2019-09-23,6.96,2
2019-09-24,6.98,2
2019-09-25,7.0,2
2019-09-26,7.01,2
2019-09-27,7.02,2
2019-09-28,7.03,2
2019-09-29,7.04,2
2019-09-30,7.04,2
2019-10-01,7.05,2
2019-10-02,7.06,2
2019-10-03,7.05,2
2019-10-04,7.06,2
2019-10-05,7.06,2
2019-10-06,7.06,2
2019-10-07,7.06,2
2019-10-08,7.06,2
2019-10-09,7.07,2
2019-10-10,7.07,2
2019-10-11,7.07,2
2019-10-12,7.07,2
2019-10-13,7.07,2
2019-10-14,7.07,2
2019-10-15,7.06,2
2019-10-16,7.06,2
2019-10-17,7.06,2
2019-10-18,7.06,2
2019-10-19,7.06,2
2019-10-20,7.05,2
2019-10-21,7.06,2
2019-10-22,7.05,2
2019-10-23,7.06,2
2019-10-24,7.08,2
2019-10-25,7.09,2
2019-10-26,7.09,2
2019-10-27,7.1,2
2019-10-28,7.11,2
2019-10-29,7.12,2
2019-10-30,7.12,2
2019-10-31,7.12,2
2019-11-01,7.14,2
2019-11-02,7.14,2
2019-11-03,7.14,2
2019-11-04,7.14,2
2019-11-05,7.15,2
2019-11-06,7.15,2
2019-11-07,7.16,2
2019-11-08,7.17,2
2019-11-09,7.18,2
2019-11-10,7.2,2
2019-11-11,7.24,2
2019-11-12,7.28,2
2019-11-13,7.34,2
2019-11-14,7.49,2
2019-11-15,7.62,2
2019-11-16,7.73,2
2019-11-17,7.81,2
2019-11-18,7.89,2
2019-11-19,7.97,2
2019-11-20,8.03,2
2019-11-21,8.09,2
2019-11-22,8.16,2
2019-11-23,8.29,2
2019-11-24,8.5,2
2019-11-25,8.65,2
2019-11-26,8.78,2
2019-11-27,8.91,2
2019-11-28,9.03,2
2019-11-29,9.16,2
2019-11-30,9.27,2
2019-12-01,9.41,2
2019-12-02,9.6,2
2019-12-03,9.76,2
2019-12-04,9.9,2
2019-12-05,10.01,2
2019-12-06,10.11,2
2019-12-07,10.2,2
2019-12-08,10.28,2
2019-12-09,10.35,2
2019-12-10,10.41,2
2019-12-11,10.47,2
2019-12-12,10.52,2
2019-12-13,10.6,2
2019-12-14,10.67,2
2019-12-15,10.75,2
2019-12-16,10.81,2
2019-12-17,10.88,2
2019-12-18,10.93,2
2019-12-19,10.99,2
2019-12-20,11.4,2
2019-12-21,12.33,2
2019-12-22,12.73,2
2019-12-23,12.9,2
2019-12-24,12.8,2
2019-12-25,12.91,2
2019-12-26,12.99,2
2019-12-27,12.99,2
2019-12-28,12.93,2
2019-12-29,12.85,2
2019-12-30,12.72,2
2019-12-31,12.6,2
2020-01-01,12.58,2
2020-01-02,12.55,2
2020-01-03,12.52,2
2020-01-04,12.58,2
2020-01-05,12.64,2
2020-01-06,12.69,2
2020-01-07,12.74,2
2020-01-08,12.78,2
2020-01-09,12.81,2
2020-01-10,12.84,2
2020-01-11,12.81,2
2020-01-12,12.78,2
2020-01-13,12.74,2
2020-01-14,12.75,2
2020-01-15,12.76,2
2020-01-16,12.78,2
2020-01-17,12.78,2
2020-01-18,12.78,2
2020-01-19,12.79,2
2020-01-20,12.81,2
2020-01-21,12.81,2
2020-01-22,12.84,2
2020-01-23,12.89,2
2020-01-24,12.93,2
2020-01-25,12.99,2
2020-01-26,13.09,2
2020-01-27,13.23,2
2020-01-28,13.37,2
2020-01-29,13.63,2
2020-01-30,13.9,2
2020-01-31,14.17,2
2020-02-01,14.4,2
2020-02-02,14.63,2
2020-02-03,14.82,2
2020-02-04,14.98,2
2020-02-05,15.09,2
2020-02-06,15.22,2
2020-02-07,15.35,2
2020-02-08,15.46,2
2020-02-09,15.57,2
2020-02-10,15.67,2
2020-02-11,15.76,2
2020-02-12,15.86,2
2020-02-13,15.95,2
2020-02-14,16.04,2
2020-02-15,16.1,2
2020-02-16,16.14,2
2020-02-17,16.19,2
2020-02-18,16.23,2
2020-02-19,16.26,2
2020-02-20,16.3,2
2020-02-21,16.32,2
2020-02-22,16.35,2
2020-02-23,16.37,2
2020-02-24,16.39,2
2020-02-25,16.42,2
2020-02-26,16.46,2
2020-02-27,16.49,2
2020-02-28,16.52,2
2020-02-29,16.56,2
2020-03-01,16.58,2
2020-03-02,16.63,2
2020-03-03,16.76,2
2020-03-04,16.91,2
2020-03-05,17.09,2
2020-03-06,17.24,2
2020-03-07,17.39,2
2020-03-08,17.54,2
2020-03-09,17.69,2
2020-03-10,17.82,2
2020-03-11,17.95,2
2020-03-12,18.07,2
2020-03-13,18.17,2
2020-03-14,18.28,2
2020-03-15,18.37,2
2020-03-16,18.54,2
2020-03-17,19.57,2
2020-03-18,20.48,2
2020-03-19,20.77,2
2020-03-20,20.71,2
2020-03-21,20.49,2
2020-03-22,20.82,2
2020-03-23,20.72,2
2020-03-24,20.66,2
2020-03-25,20.61,2
2020-03-26,20.45,2
2020-03-27,20.24,2
2020-03-28,20.26,2
2020-03-29,20.24,2
2020-03-30,20.21,2
2020-03-31,20.17,2
2020-04-01,20.16,2
2020-04-02,20.27,2
2020-04-03,20.25,2
2020-04-04,20.35,2
2020-04-05,20.4,2
2020-04-06,20.4,2
2020-04-07,20.48,2
2020-04-08,20.64,2
2020-04-09,20.81,2
2020-04-10,20.93,2
2020-04-11,21.01,2
2020-04-12,21.16,2
2020-04-13,21.97,2
2020-04-14,22.71,2
2020-04-15,23.34,2
2020-04-16,23.87,2
2020-04-17,24.43,2
2020-04-18,24.35,2
2020-04-19,24.45,2
2020-04-20,25.12,2
2020-04-21,25.2,2
2020-04-22,25.31,2
2020-04-23,25.33,2
2020-04-24,25.16,2
2020-04-25,24.94,2
2020-04-26,24.96,2
2020-04-27,25.07,2
2020-04-28,25.07,2
2020-04-29,24.99,2
2020-04-30,24.82,2
2020-05-01,24.77,2
2020-05-02,24.72,2
2020-05-03,24.75,2
2020-05-04,24.76,2
2020-05-05,24.75,2
2020-05-06,24.8,2
2020-05-07,24.83,2
2020-05-08,24.84,2
2020-05-09,24.75,2
