date,storage,outflow,type
2014-10-01,25.03,16.0,1
2014-10-02,23.59,16.62,1
2014-10-03,22.09,17.6,1
2014-10-04,20.51,18.28,1
2014-10-05,19.04,16.98,1
2014-10-06,17.68,17.6,1
2014-10-07,16.39,17.0,1
2014-10-08,14.89,17.33,1
2014-10-09,13.62,15.6,1
2014-10-10,12.68,18.2,1
2014-10-11,11.48,17.63,1
2014-10-12,10.33,15.76,1
2014-10-13,10.91,18.3,1
2014-10-14,11.36,20.7,1
2014-10-15,10.45,29.0,1
2014-10-16,9.57,26.48,1
2014-10-17,10.34,18.6,1
2014-10-18,9.7,17.8,1
2014-10-19,9.38,12.0,1
2014-10-20,8.94,12.0,1
2014-10-21,8.46,10.4,1
2014-10-22,8.46,4.0,1
2014-10-23,8.54,4.0,1
2014-10-24,8.62,4.0,1
2014-10-25,8.61,4.0,1
2014-10-26,8.61,4.0,1
2014-10-27,8.58,4.0,1
2014-10-28,8.54,4.14,1
2014-10-29,8.62,2.0,1
2014-10-30,8.74,2.0,1
2014-10-31,8.82,2.0,1
2014-11-01,8.93,2.05,1
2014-11-02,8.98,2.05,1
2014-11-03,9.06,2.0,1
2014-11-04,9.18,2.0,1
2014-11-05,9.5,2.0,1
2014-11-06,9.65,2.0,1
2014-11-07,9.75,2.1,1
2014-11-08,9.96,2.1,1
2014-11-09,10.26,2.8,1
2014-11-10,10.17,2.6,1
2014-11-11,10.32,2.9,1
2014-11-12,10.68,2.13,1
2014-11-13,10.92,2.14,1
2014-11-14,18.01,2.34,1
2014-11-15,20.96,2.45,1
2014-11-16,22.63,2.48,1
2014-11-17,23.95,2.5,1
2014-11-18,24.89,2.5,1
2014-11-19,25.71,2.5,1
2014-11-20,27.51,2.55,1
2014-11-21,28.71,2.56,1
2014-11-22,29.74,2.6,1
2014-11-23,30.89,2.6,1
2014-11-24,31.33,2.6,1
2014-11-25,31.94,2.6,1
2014-11-26,32.5,2.6,1
2014-11-27,33.06,2.6,1
2014-11-28,33.99,2.7,1
2014-11-29,38.31,2.75,1
2014-11-30,39.76,2.75,1
2014-12-01,41.0,2.75,1
2014-12-02,42.14,2.82,1
2014-12-03,43.18,2.82,1
2014-12-04,44.05,2.75,1
2014-12-05,44.85,2.79,1
2014-12-06,45.18,7.29,1
2014-12-07,45.36,7.29,1
2014-12-08,45.36,7.36,1
2014-12-09,45.42,7.38,1
2014-12-10,45.45,7.4,1
2014-12-11,45.48,7.4,1
2014-12-12,45.45,7.4,1
2014-12-13,45.42,7.4,1
2014-12-14,49.72,7.63,1
2014-12-15,52.74,7.75,1
2014-12-16,54.08,7.75,1
2014-12-17,55.04,7.85,1
2014-12-18,55.74,7.85,1
2014-12-19,56.46,7.85,1
2014-12-20,57.02,7.95,1
2014-12-21,57.44,7.69,1
2014-12-22,57.81,7.8,1
2014-12-23,58.15,7.8,1
2014-12-24,58.38,7.94,1
2014-12-25,58.53,8.06,1
2014-12-26,58.64,8.06,1
2014-12-27,58.68,7.92,1
2014-12-28,58.68,7.94,1
2014-12-29,58.72,7.96,1
2014-12-30,58.68,7.96,1
2014-12-31,58.6,7.91,1
2015-01-01,58.49,7.91,1
2015-01-02,58.38,7.91,1
2015-01-03,58.23,7.91,1
2015-01-04,58.04,7.91,1
2015-01-05,57.85,7.91,1
2015-01-06,57.7,7.91,1
2015-01-07,57.44,7.91,1
2015-01-08,57.21,7.91,1
2015-01-09,56.95,7.91,1
2015-01-10,56.65,7.91,1
2015-01-11,56.38,7.84,1
2015-01-12,56.08,7.84,1
2015-01-13,55.82,7.84,1
2015-01-14,55.48,7.84,1
2015-01-15,55.22,7.84,1
2015-01-16,55.1,7.84,1
2015-01-17,54.98,7.79,1
2015-01-18,54.8,7.84,1
2015-01-19,54.74,7.82,1
2015-01-20,54.71,7.69,1
2015-01-21,54.59,7.69,1
2015-01-22,54.41,7.65,1
2015-01-23,54.29,7.64,1
2015-01-24,54.08,7.84,1
2015-01-25,53.9,7.72,1
2015-01-26,53.69,7.79,1
2015-01-27,53.45,7.82,1
2015-01-28,53.22,7.82,1
2015-01-29,52.95,7.73,1
2015-01-30,52.65,7.65,1
2015-01-31,52.41,7.75,1
2015-02-01,52.26,7.72,1
2015-02-02,51.99,7.62,1
2015-02-03,51.75,7.7,1
2015-02-04,51.57,7.7,1
2015-02-05,51.36,7.7,1
2015-02-06,51.07,7.7,1
2015-02-07,50.8,7.7,1
2015-02-08,50.56,7.71,1
2015-02-09,50.2,7.71,1
2015-02-10,49.93,7.6,1
2015-02-11,49.6,7.6,1
2015-02-12,49.3,7.6,1
2015-02-13,49.04,7.58,1
2015-02-14,48.68,7.55,1
2015-02-15,48.35,7.55,1
2015-02-16,48.11,7.41,1
2015-02-17,47.78,7.49,1
2015-02-18,47.3,7.5,1
2015-02-19,47.03,7.48,1
2015-02-20,46.68,7.45,1
2015-02-21,46.35,7.44,1
2015-02-22,46.02,7.42,1
2015-02-23,45.63,7.4,1
