date,outflow,type
2002-09-01,2.434,1
2002-09-02,2.682,1
2002-09-03,2.422,1
2002-09-04,2.398,1
2002-09-05,2.253,1
2002-09-06,2.268,1
2002-09-07,2.624,1
2002-09-08,2.214,1
2002-09-09,2.538,1
2002-09-10,2.559,1
2002-09-11,2.33,1
2002-09-12,2.19,1
2002-09-13,2.708,1
2002-09-14,2.156,1
2002-09-15,1.896,1
2002-09-16,2.457,1
2002-09-17,2.289,1
2002-09-18,2.823,1
2002-09-19,3.949,1
2002-09-20,3.264,1
2002-09-21,2.739,1
2002-09-22,3.59,1
2002-09-23,3.263,1
2002-09-24,3.85,1
2002-09-25,2.921,1
2002-09-26,3.451,1
2002-09-27,2.821,1
2002-09-28,2.782,1
2002-09-29,2.753,1
2002-09-30,2.492,1
2002-10-01,2.928,1
2002-10-02,2.529,1
2002-10-03,2.975,1
2002-10-04,2.288,1
2002-10-05,2.759,1
2002-10-06,1.864,1
2002-10-07,2.595,1
2002-10-08,2.324,1
2002-10-09,2.791,1
2002-10-10,4.056,1
2002-10-11,2.984,1
2002-10-12,2.404,1
2002-10-13,3.369,1
2002-10-14,3.285,1
2002-10-15,2.775,1
2002-10-16,2.967,1
2002-10-17,3.031,1
2002-10-18,3.021,1
2002-10-19,3.263,1
2002-10-20,4.99,1
2002-10-21,5.506,1
2002-10-22,9.312,1
2002-10-23,15.576,1
2002-10-24,11.841,1
2002-10-25,10.346,1
2002-10-26,7.793,1
2002-10-27,7.137,1
2002-10-28,6.465,1
2002-10-29,5.06,1
2002-10-30,5.396,1
2002-10-31,4.993,1
2002-11-01,4.362,1
2002-11-02,4.241,1
2002-11-03,3.566,1
2002-11-04,4.444,1
2002-11-05,3.854,1
2002-11-06,4.14,1
2002-11-07,4.703,1
2002-11-08,4.297,1
2002-11-09,4.673,1
2002-11-10,4.465,1
2002-11-11,4.234,1
2002-11-12,4.241,1
2002-11-13,6.348,1
2002-11-14,12.149,1
2002-11-15,9.37,1
2002-11-16,8.741,1
2002-11-17,8.345,1
2002-11-18,7.575,1
2002-11-19,9.335,1
2002-11-20,10.311,1
2002-11-21,14.315,1
2002-11-22,13.447,1
2002-11-23,11.81,1
2002-11-24,10.34,1
2002-11-25,9.11,1
2002-11-26,8.401,1
2002-11-27,9.089,1
2002-11-28,10.591,1
2002-11-29,14.197,1
2002-11-30,18.783,1
2002-12-01,18.561,1
2002-12-02,18.936,1
2002-12-03,19.165,1
2002-12-04,18.413,1
2002-12-05,18.724,1
2002-12-06,17.52,1
2002-12-07,17.03,1
2002-12-08,15.537,1
2002-12-09,13.475,1
2002-12-10,12.299,1
2002-12-11,11.359,1
2002-12-12,10.012,1
2002-12-13,8.791,1
2002-12-14,9.952,1
2002-12-15,11.976,1
2002-12-16,9.961,1
2002-12-17,11.102,1
2002-12-18,15.956,1
2002-12-19,16.591,1
2002-12-20,13.563,1
2002-12-21,11.523,1
2002-12-22,12.094,1
2002-12-23,12.237,1
2002-12-24,10.724,1
2002-12-25,11.007,1
2002-12-26,18.084,1
2002-12-27,18.522,1
2002-12-28,17.295,1
2002-12-29,18.048,1
2002-12-30,17.642,1
2002-12-31,16.612,1
2003-01-01,17.409,1
2003-01-02,17.086,1
2003-01-03,17.495,1
2003-01-04,16.384,1
2003-01-05,13.391,1
