date,storage,outflow,type
1995-09-30,1.27,,1
1995-10-01,1.26,0.463,1
1995-10-02,1.25,0.463,1
1995-10-03,1.25,0.463,1
1995-10-04,1.27,0.463,1
1995-10-05,1.3,0.463,1
1995-10-06,1.26,1.042,1
1995-10-07,1.23,0.694,1
1995-10-08,1.2,0.694,1
1995-10-09,1.2,0.463,1
1995-10-10,1.19,0.463,1
1995-10-11,1.18,0.463,1
1995-10-12,1.17,0.463,1
1995-10-13,1.17,0.463,1
1995-10-14,1.16,0.463,1
1995-10-15,1.15,0.463,1
1995-10-16,1.14,0.463,1
1995-10-17,1.13,0.463,1
1995-10-18,1.12,0.463,1
1995-10-19,1.11,0.463,1
1995-10-20,1.1,0.463,1
1995-10-21,1.09,0.463,1
1995-10-22,1.09,0.463,1
1995-10-23,1.09,0.347,1
1995-10-24,1.08,0.463,1
1995-10-25,1.07,0.463,1
1995-10-26,1.06,0.463,1
1995-10-27,1.06,0.347,1
1995-10-28,1.05,0.347,1
1995-10-29,1.03,0.694,1
1995-10-30,1.02,0.463,1
1995-10-31,1.01,0.347,1
1995-11-01,1.01,0.347,1
1995-11-02,1.0,0.347,1
1995-11-03,0.99,0.347,1
1995-11-04,0.98,0.347,1
1995-11-05,0.97,0.347,1
1995-11-06,0.96,0.347,1
1995-11-07,0.95,0.347,1
1995-11-08,0.94,0.347,1
1995-11-09,0.93,0.347,1
1995-11-10,0.93,0.347,1
1995-11-11,0.93,0.347,1
1995-11-12,0.92,0.347,1
1995-11-13,0.92,0.347,1
1995-11-14,0.92,0.347,1
1995-11-15,0.91,0.347,1
1995-11-16,0.91,0.347,1
1995-11-17,0.92,0.347,1
1995-11-18,0.91,0.347,1
1995-11-19,0.91,0.347,1
1995-11-20,0.89,0.579,1
1995-11-21,0.89,0.347,1
1995-11-22,0.89,0.347,1
1995-11-23,0.88,0.347,1
1995-11-24,0.88,0.347,1
1995-11-25,0.89,0.347,1
1995-11-26,0.89,0.347,1
1995-11-27,0.89,0.347,1
1995-11-28,0.89,0.347,1
1995-11-29,0.89,0.347,1
1995-11-30,0.89,0.347,1
1995-12-01,0.89,0.347,1
1995-12-02,0.89,0.347,1
1995-12-03,0.9,0.347,1
1995-12-04,0.91,0.347,1
1995-12-05,0.91,0.347,1
1995-12-06,0.92,0.347,1
1995-12-07,0.93,0.347,1
1995-12-08,0.93,0.347,1
1995-12-09,0.94,0.347,1
1995-12-10,0.95,0.347,1
1995-12-11,0.95,0.347,1
1995-12-12,0.96,0.347,1
1995-12-13,0.96,0.347,1
1995-12-14,0.97,0.347,1
1995-12-15,0.99,0.347,1
1995-12-16,1.0,0.347,1
1995-12-17,1.01,0.347,1
1995-12-18,1.02,0.347,1
1995-12-19,1.02,0.347,1
1995-12-20,1.02,0.347,1
1995-12-21,1.03,0.347,1
1995-12-22,1.04,0.347,1
1995-12-23,1.06,0.347,1
1995-12-24,1.07,0.347,1
1995-12-25,1.08,0.347,1
1995-12-26,1.09,0.347,1
1995-12-27,1.11,0.347,1
1995-12-28,1.13,0.347,1
1995-12-29,1.14,0.347,1
1995-12-30,1.17,0.347,1
1995-12-31,1.22,0.347,1
1996-01-01,1.25,0.347,1
1996-01-02,1.26,0.347,1
1996-01-03,1.27,0.347,1
1996-01-04,1.28,0.347,1
1996-01-05,1.29,0.347,1
1996-01-06,1.3,0.347,1
1996-01-07,1.3,0.347,1
1996-01-08,1.31,0.347,1
1996-01-09,1.33,0.347,1
1996-01-10,1.34,0.347,1
1996-01-11,1.37,0.347,1
1996-01-12,1.4,0.347,1
1996-01-13,1.43,0.347,1
1996-01-14,1.44,0.347,1
1996-01-15,1.46,0.347,1
1996-01-16,1.47,0.347,1
