basin,train,validation,test
1105,0.906,,
1106,0.941,,
1109,0.876,,
1295,0.820,,
1343,0.679,,
1363,0.786,,
1369,0.879,,
1378,0.911,,
1395,0.781,,
1414,0.888,,
1427,0.797,,
1431,0.869,,
1441,0.865,,
1443,0.894,,
1485,0.929,,
1520,0.898,,
1522,0.883,,
1552,0.923,,
1585,0.693,,
1605,0.886,,
1619,0.855,,
1620,0.825,,
1624,0.909,,
1638,0.864,,
1659,0.838,,
1715,0.870,,
1721,0.827,,
1723,0.929,,
1725,0.899,,
1726,0.955,,
1728,0.917,,
1729,0.835,,
1734,0.880,,
1753,0.917,,
1823,0.671,,
1824,0.910,,
1829,0.888,,
2005,0.846,,
2012,0.837,,
2016,0.880,,
2025,0.778,,
2028,0.860,,
2029,0.897,,
2031,0.890,,
2036,0.962,,
2041,0.790,,
2046,0.780,,
2047,0.792,,
2050,0.857,,
2055,0.894,,
2056,0.831,,
2057,0.839,,
2074,0.939,,
2081,0.903,,
2082,0.859,,
2089,0.912,,
2098,0.850,,
2101,0.841,,
2104,0.937,,
2113,0.917,,
2114,0.263,,
2115,0.844,,
2116,0.804,,
2121,0.839,,
2125,0.713,,
2126,0.719,,
2131,0.902,,
2132,0.865,,
2139,0.902,,
2141,0.897,,
2143,0.910,,
2147,0.923,,
2711,0.842,,
2712,0.695,,
2713,0.904,,
2717,0.846,,
3001,0.902,,
3012,0.746,,
3030,0.759,,
3040,0.823,,
3045,0.820,,
3100,0.848,,
3161,0.813,,
3163,0.869,,
3165,0.882,,
3169,0.547,,
3175,0.606,,
3180,0.861,,
3186,0.776,,
3193,0.625,,
3198,0.643,,
3200,0.904,,
3213,0.828,,
3217,0.669,,
3218,0.839,,
3220,0.558,,
3221,0.818,,
3222,0.685,,
3234,0.816,,
3235,0.758,,
3242,0.849,,
3244,0.875,,
3246,0.574,,
3253,0.381,,
3268,0.857,,
3276,0.651,,
3279,0.662,,
8018,0.820,,
8028,0.734,,
8060,-0.155,,
8087,0.722,,
8091,0.807,,
8104,0.897,,
8118,0.209,,
8120,0.564,,
8134,0.769,,
8149,0.815,,
9003,0.863,,
9020,0.802,,
9021,0.834,,
9030,0.751,,
9033,0.866,,
9040,0.855,,
9041,0.488,,
9061,0.829,,
9063,0.854,,
9064,0.845,,
9069,0.954,,
9073,0.837,,
9074,0.922,,
9075,0.889,,
9087,0.199,,
9089,0.822,,
9093,0.824,,
9095,0.793,,
9120,0.922,,
9139,0.823,,
9159,0.895,,
9165,0.939,,
9166,0.898,,
9170,0.810,,
9177,0.614,,
9184,0.575,,
9187,0.768,,
9188,0.860,,
9189,0.886,,
9197,0.810,,
9215,0.644,,
9252,0.868,,
9256,0.824,,
9261,0.928,,
9263,0.850,,
9265,0.739,,
9271,0.663,,
9279,0.883,,
9284,0.928,,
9291,0.679,,
9321,0.771,,
9323,0.942,,
9324,0.926,,
9327,0.748,,
1265,,0.449,
1268,,0.679,
1365,,0.236,
1512,,0.179,
1540,,0.919,
1544,,0.743,
2000,,0.717,
2015,,0.843,
2017,,0.659,
2030,,0.614,
2048,,0.379,
2095,,0.692,
2138,,0.610,
2150,,0.670,
2163,,0.508,
2714,,0.239,
3005,,0.288,
3014,,0.814,
3049,,0.054,
3051,,-1.124,
3052,,0.118,
3103,,0.373,
3168,,0.684,
3184,,0.629,
3212,,0.642,
3231,,0.788,
3233,,-0.092,
3250,,-0.063,
3251,,-4.771,
3256,,0.703,
3261,,0.741,
3278,,0.570,
8029,,0.040,
8090,,0.353,
8092,,-0.206,
8126,,0.612,
8140,,-1.578,
9011,,0.842,
9038,,0.645,
9051,,0.187,
9062,,0.707,
9068,,0.877,
9070,,0.762,
9071,,0.539,
9079,,0.713,
9092,,0.684,
9203,,0.166,
9254,,0.281,
9270,,0.640,
9281,,0.667,
9282,,0.701,
9317,,0.308,
9322,,0.337,
1080,,,0.556
1103,,,0.766
1163,,,0.776
1302,,,0.859
1353,,,0.842
1404,,,0.831
1424,,,0.556
1433,,,0.549
1438,,,0.742
1464,,,0.764
1542,,,0.469
1546,,,0.679
1578,,,0.876
1622,,,0.590
1647,,,0.089
1765,,,0.804
2013,,,0.842
2026,,,0.691
2043,,,0.832
2049,,,0.590
2053,,,0.771
2054,,,0.807
2060,,,-0.008
2061,,,0.825
2062,,,0.719
2105,,,0.734
2144,,,0.016
2145,,,-0.124
2156,,,0.436
2716,,,0.539
2818,,,0.744
3062,,,0.748
3144,,,0.695
3146,,,0.525
3174,,,0.756
3182,,,0.741
3211,,,0.526
3255,,,-0.819
3269,,,-1.074
8027,,,0.023
8103,,,0.494
8148,,,-0.526
9002,,,0.878
9004,,,0.809
9023,,,0.754
9044,,,0.666
9067,,,0.839
9088,,,0.551
9158,,,0.546
9255,,,-0.450
9283,,,0.701
9287,,,0.237
9328,,,0.316
