basin,train,validation,test
1105,0.474,,
1106,0.466,,
1109,0.370,,
1295,0.384,,
1343,0.335,,
1363,0.437,,
1369,0.447,,
1378,0.606,,
1395,0.384,,
1414,0.723,,
1427,0.574,,
1431,0.578,,
1441,0.544,,
1443,0.503,,
1485,0.771,,
1520,0.743,,
1522,0.707,,
1552,0.740,,
1585,0.289,,
1605,0.722,,
1619,0.624,,
1620,0.684,,
1624,0.766,,
1638,0.811,,
1659,0.825,,
1715,0.456,,
1721,0.662,,
1723,0.831,,
1725,0.871,,
1726,0.877,,
1728,0.825,,
1729,0.434,,
1734,0.807,,
1753,0.678,,
1823,0.428,,
1824,0.802,,
1829,0.839,,
2005,0.872,,
2012,0.826,,
2016,0.849,,
2025,0.368,,
2028,0.702,,
2029,-0.069,,
2031,0.806,,
2036,0.466,,
2041,0.392,,
2046,0.010,,
2047,-0.370,,
2050,0.688,,
2055,0.814,,
2056,0.436,,
2057,0.609,,
2074,0.091,,
2081,0.616,,
2082,0.778,,
2089,0.783,,
2098,0.626,,
2101,0.627,,
2104,0.843,,
2113,0.637,,
2114,-0.524,,
2115,0.877,,
2116,0.228,,
2121,0.473,,
2125,0.151,,
2126,-0.527,,
2131,-0.289,,
2132,0.681,,
2139,0.121,,
2141,0.760,,
2143,0.595,,
2147,0.843,,
2711,0.342,,
2712,0.061,,
2713,0.739,,
2717,0.584,,
3001,0.781,,
3012,0.627,,
3030,0.552,,
3040,0.637,,
3045,0.837,,
3100,0.669,,
3161,0.811,,
3163,0.667,,
3165,0.786,,
3169,-0.085,,
3175,0.221,,
3180,0.761,,
3186,-1.094,,
3193,-0.209,,
3198,0.120,,
3200,0.718,,
3213,0.497,,
3217,0.625,,
3218,0.529,,
3220,-0.046,,
3221,0.771,,
3222,0.565,,
3234,0.751,,
3235,0.490,,
3242,0.688,,
3244,0.872,,
3246,0.328,,
3253,0.251,,
3268,0.787,,
3276,0.557,,
3279,0.445,,
8018,0.618,,
8028,0.437,,
8060,-1.484,,
8087,0.411,,
8091,0.485,,
8104,0.633,,
8118,-0.365,,
8120,0.170,,
8134,0.670,,
8149,0.569,,
9003,0.429,,
9020,0.663,,
9021,0.553,,
9030,0.424,,
9033,0.733,,
9040,0.756,,
9041,0.043,,
9061,0.651,,
9063,0.677,,
9064,0.655,,
9069,0.467,,
9073,0.515,,
9074,0.146,,
9075,0.318,,
9087,-1.188,,
9089,0.100,,
9093,0.370,,
9095,0.644,,
9120,0.369,,
9139,0.279,,
9159,0.485,,
9165,0.270,,
9166,0.324,,
9170,0.525,,
9177,0.531,,
9184,0.023,,
9187,0.476,,
9188,0.488,,
9189,0.424,,
9197,0.607,,
9215,0.120,,
9252,0.685,,
9256,0.535,,
9261,0.825,,
9263,-0.065,,
9265,0.637,,
9271,0.573,,
9279,0.276,,
9284,0.335,,
9291,0.213,,
9321,0.241,,
9323,0.479,,
9324,0.497,,
9327,0.416,,
1265,,-0.009,
1268,,0.030,
1365,,0.059,
1512,,0.028,
1540,,0.719,
1544,,0.779,
2000,,0.270,
2015,,0.654,
2017,,0.200,
2030,,0.751,
2048,,0.204,
2095,,0.034,
2138,,0.545,
2150,,0.532,
2163,,0.214,
2714,,0.609,
3005,,0.475,
3014,,0.707,
3049,,0.144,
3051,,-1.086,
3052,,0.688,
3103,,0.081,
3168,,0.610,
3184,,0.561,
3212,,0.419,
3231,,0.622,
3233,,-19.817,
3250,,-1.089,
3251,,-5.415,
3256,,0.402,
3261,,0.575,
3278,,-0.464,
8029,,0.261,
8090,,0.323,
8092,,-0.656,
8126,,0.812,
8140,,-2.631,
9011,,-0.064,
9038,,-0.054,
9051,,0.467,
9062,,0.515,
9068,,0.349,
9070,,0.626,
9071,,0.522,
9079,,0.476,
9092,,0.365,
9203,,0.047,
9254,,0.412,
9270,,0.182,
9281,,0.139,
9282,,0.698,
9317,,-0.254,
9322,,0.153,
1080,,,0.150
1103,,,0.376
1163,,,0.505
1302,,,0.501
1353,,,0.478
1404,,,0.516
1424,,,0.832
1433,,,0.746
1438,,,0.700
1464,,,0.495
1542,,,0.498
1546,,,0.540
1578,,,0.572
1622,,,0.582
1647,,,0.294
1765,,,0.745
2013,,,0.259
2026,,,0.487
2043,,,-0.135
2049,,,0.347
2053,,,0.490
2054,,,0.496
2060,,,-0.039
2061,,,0.299
2062,,,0.465
2105,,,0.590
2144,,,0.119
2145,,,-0.085
2156,,,0.644
2716,,,0.295
2818,,,0.766
3062,,,0.193
3144,,,0.704
3146,,,0.757
3174,,,0.457
3182,,,0.408
3211,,,0.268
3255,,,-1.862
3269,,,-0.761
8027,,,-0.507
8103,,,0.194
8148,,,-0.321
9002,,,0.391
9004,,,0.408
9023,,,0.732
9044,,,0.475
9067,,,0.340
9088,,,0.584
9158,,,0.425
9255,,,-0.570
9283,,,0.286
9287,,,0.066
9328,,,0.057
