ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
5001;TRANCO DE BEAS;1;;23904;887;517973;4225334;517973;4225334;-24741;381030;-24746;381026;0;641.5;5003;63;77;517861;4225127;E01
5002;DOÑA ALDONZA;0;INT 2008                                                                                                                ;23092;927;472543;4197785;472543;4197785;-31845;375538;-31849;375531;0;341.5;5051;38;38;472432;4197579;
5003;PEDRO MARIN;0;CENTRAL FLUYENTE DESDE 2010-11.LOS DATOS DE 2009-10 ESTAN PENDIENTES DE REVISION                                        ;23009;927;463824;4196009;463824;4196009;-32441;375437;-32446;375433;0;320;5053;41;41;463712;4195803;E10
5004;GUADALEN;1;;23094;906;458273;4224073;458273;4224073;-32835;380949;-32839;380942;0;349.5;5081;63;67;458161;4223866;E13
5005;RUMBLAR;1;;23011;905;429535;4224103;429535;4224103;-34816;380941;-34820;380937;343.7;342;5106;63;77;429424;4223896;E19
5006;MONTORO III;1;LOS DATOS DE 2008-09 Y 2009-10 ESTAN PENDIENTES DE REVISION                                                             ;13055;836;404201;4264875;404201;4264875;-40556;383135;-40601;383131;0;565.6;5113;62;66;404090;4264668;E22
5007;JANDULA;1;;23005;883;414829;4231407;414829;4231407;-35823;381336;-35827;381329;0;360;5118;63;77;414718;4231200;E23
5008;ENCINAREJO;0;INT 2009                                                                                                                ;23005;904;413105;4224761;413105;4224761;-35931;380960;-35935;380953;0;279;5120;52;65;412994;4224554;E24
5010;BREÑA II, LA;1;;14005;943;320281;4188864;320281;4188864;-50231;374944;-50236;374939;125;121;5206;63;77;320170;4188658;E36
5011;PINTADO, EL;1;;41032;919;240711;4208355;240711;4208355;-55708;375907;-55713;375902;0;340.5;5346;63;73;240601;4208150;E57
5012;BEMBEZAR;1;;14036;921;305734;4197432;305734;4197432;-51234;375411;-51239;375407;0;182.5;5222;60;60;305623;4197227;E37
5013;MINILLA, LA;1;;41083;962;748399;4172741;219160;4173780;-61102;374004;-61107;373959;0;157.5;5366;63;68;219049;4173576;E63
5014;CALA;1;;41083;940;756740;4178706;227896;4179198;-60514;374311;-60517;374304;278.7;278;5367;63;77;227785;4178993;E64
5015;HORNACHUELOS;1;;14036;942;303090;4189125;303090;4189125;-51414;374940;-51419;374935;0;96.5;5222;44;45;302979;4188920;E38
5016;ARACENA;1;;21059;918;724152;4198879;196632;4201430;-62701;375433;-62706;375429;345.5;344;5362;51;51;196522;4201226;E61
5017;RETORTILLO;1;LOS DATOS DE 2009-10 ESTAN PENDIENTES DE REVISION                                                                       ;14036;921;293394;4191007;293394;4191007;-52053;375033;-52057;375028;0;187;5228;51;51;293283;4190802;E39
5018;GUADALMENA;1;;23029;864;507626;4246363;507626;4246363;-25446;382153;-25450;382149;600.7;600.7;5071;51;51;507515;4246156;E15
5019;MALPASILLO-JAUJA;0;INT 2008                                                                                                                ;14038;1006;351500;4129593;351500;4129593;-44032;371802;-44036;371757;0;241;5288;50;55;351387;4129388;
5020;CUBILLAS;1;;18003;1009;439623;4125857;439623;4125857;-34052;371636;-34056;371632;643;641.5;5247;63;66;439511;4125651;E45
5021;BERMEJALES, LOS;1;;18020;1040;420614;4095015;420614;4095015;-35332;365950;-35336;365946;0;829;5269;63;67;420502;4094809;E46
5022;TORRE DEL AGUILA;1;SALTO DE RESERVA ENTRE 30/09/2016 Y 01/10/2016 POR CAMBIO DE CURVA DE CAPACIDAD                                         ;41095;1020;254809;4103266;254809;4103266;-54525;370235;-54529;370230;0;51;5414;63;73;254697;4103062;E68
5025;CORDOBILLA;0;INT 2008                                                                                                                ;14056;988;347626;4135217;347626;4135217;-44313;372104;-44317;372058;0;212.5;5292;50;55;347514;4135011;E50
5026;IZNAJAR;1;;14058;1007;377155;4126590;377155;4126590;-42308;371640;-42312;371633;0;421.1;5286;54;54;377043;4126384;E48
5029;BOLERA, LA;1;;23070;949;508648;4179646;508648;4179646;-25407;374549;-25411;374544;971.4;971.4;5027;54;54;508537;4179439;E05
5032;MARMOLEJO;0;INT 2009                                                                                                                ;23059;904;396014;4213184;396014;4213184;-41107;380335;-41112;380331;0;191.8;5121;35;35;395902;4212978;E25
5033;CARPIO, EL;0;CENTRAL FLUYENTE DESDE 2010-11                                                                                          ;14018;924;369056;4204250;369056;4204250;-42927;375833;-42932;375828;138.1;137.3;5149;36;36;368944;4204044;E78
5034;CANTILLANA;0;CENTRAL FLUYENTE DESDE 2010-11                                                                                          ;41023;963;251875;4164506;251875;4164506;-54837;373539;-54841;373532;0;18.8;5337;34;34;251764;4164301;E82
5035;ALCALA DEL RIO;0;CENTRAL FLUYENTE DESDE 2010-11. LOS DATOS DE 2009-10 ESTAN PENDIENTES DE REVISION                                       ;41005;962;237076;4156774;237076;4156774;-55830;373112;-55834;373107;12.4;10;5355;37;37;236965;4156570;E60
5036;PUENTE NUEVO;1;;14073;901;331284;4217339;331284;4217339;-45526;380517;-45530;380511;445.8;445;5202;45;45;331173;4217133;E34
5037;SIERRA BOYERA;1;;14009;879;305621;4237012;305621;4237012;-51318;381536;-51322;381530;0;501;5202;45;45;305510;4236806;E33
5038;QUENTAR;1;;18168;1010;461238;4117720;461238;4117720;-32613;371219;-32617;371212;0;1040;5231;45;45;461126;4117514;E42
5039;QUIEBRAJANO;1;;23093;969;435828;4165527;435828;4165527;-34338;373805;-34342;373758;787.7;785;5095;44;44;435716;4165321;E17
5040;VILLAFRANCA;0;INT 1999                                                                                                                ;14067;923;359662;4202317;359662;4202317;-43551;375727;-43555;375721;121.5;118.8;5151;22;22;359551;4202111;E79
5041;RETORTILLO (DERIVACION);1;;14036;942;296597;4180266;296597;4180266;-51831;374447;-51836;374443;0;90;5228;36;37;296486;4180061;E40
5042;GERGAL;1;;41049;962;760668;4162109;230754;4162383;-60255;373409;-60259;373402;0;50;5368;41;41;230643;4162179;E65
5043;NEGRATIN;1;REAJUSTE DE COTA EL 01/06/2009                                                                                          ;18078;971;504098;4157334;504098;4157334;-25713;373345;-25717;373340;639.5;637.5;5028;37;37;503987;4157127;E06
5044;DAÑADOR;1;;23062;864;496684;4251274;496684;4251274;-30217;382433;-30221;382428;716.7;713.7;5078;32;32;496572;4251067;E12
