indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
5077;CENTRAL DE CALA                    ;;1;1010;2020;940;80;1008;70;69;4;5366;41049;752982;4173143;223761;4173888;-60754;374012;-60759;374008;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;223650;4173684;A33
5078;CALA                               ;INT 1994                                                              ;0;1019;645;940;78;1110;44;44;0;5367;41049;752867;4173141;223646;4173893;-60759;374012;-60804;374008;;;;;;223535;4173689;
5080;PUENTE TOCON                       ;;1;2944;8415;1008;510;3478;45;44;4;5260;18138;416481;4117922;416481;4117922;-35628;371212;-35632;371208;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION. DATOS DE 2013-14 PENDIENTES DE REVISON         ;;;;;416369;4117716;A20
5081;CASTRO DEL RIO                     ;;1;1665;2425;945;205;1872;44;44;3;5182;14019;367552;4172791;367552;4172791;-43008;374132;-43013;374127;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;367440;4172585;A35
5082;VENTA PANTALONES                   ;;1;208;287;968;446;1570;49;48;3;5177;23060;406057;4166875;406057;4166875;-40353;373837;-40358;373832;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;405945;4166669;A27
5083;PUENTE NUEVO                       ;INT 2009                                                              ;0;775;1112;947;380;2167;40;39;3;5098;23050;434478;4182350;434478;4182350;-34439;374708;-34443;374703;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;434366;4182144;
5084;PUENTE JONTOYA                     ;;1;269;319;947;393;;43;43;3;5095;23050;433933;4179674;433933;4179674;-34500;374541;-34505;374536;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;433821;4179468;A28
5086;DILAR                              ;;1;41;128;1026;957;3392;51;51;5;5239;18068;451072;4102413;451072;4102413;-33301;370358;-33306;370353;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION. DATOS DE 2013-14 PENDIENTES DE REVISON         ;;;;;450960;4102207;A05
5088;RIOFRIO                            ;;1;100;180;1007;492;1614;42;41;2;5279;18122;392944;4113070;392944;4113070;-41220;370926;-41225;370922;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;392832;4112864;
5090;GUIJO, EL                          ;;1;672;1281;983;31;;39;39;3;5397;41087;746534;4147152;215665;4148356;-61249;372616;-61254;372611;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;215554;4148152;A39
5091;MOLINO DE CHICORRO                 ;;1;62;141;1008;522;1301;34;33;2;5281;18012;394922;4130144;394922;4130144;-41109;371841;-41113;371836;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;394810;4129938;
5095;TOZAR                              ;;1;168;368;991;756;;28;28;5;5254;18132;428937;4135918;428937;4135918;-34809;372200;-34814;372155;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;428825;4135712;
5097;PUENTE DE LOS PIEDROS              ;;1;314;523;988;256;1476;50;49;2;5289;14038;358130;4137339;358130;4137339;-43608;372217;-43613;372212;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;358018;4137133;
5100;GRANADA                            ;INT 1989                                                              ;0;525;8415;1009;665;;14;14;0;5234;18087;447181;4113913;447181;4113913;-33542;371010;-33546;371006;;;;;;447069;4113707;
5101;CARR. TORREBLASCOPEDRO             ;;1;5131;5190;905;256;1809;40;38;2;5086;23085;444226;4208036;444226;4208036;-33807;380104;-33812;380059;DATOS DE 2010-11 PENDIENTES DE REVISION                                                             ;;;;;444115;4207829;A06
5104;MENGIBAR-GUADIEL                   ;INT 2012                                                              ;0;341;360;905;250;648;31;31;0;5100;23049;431848;4209759;431848;4209759;-34636;380156;-34640;380152;DATOS DE 2010-11 PENDIENTES DE REVISION                                                             ;;;;;431737;4209553;A09
5107;MARMOLEJO                          ;INT 2009                                                              ;0;498;503;904;189;1298;38;38;3;5130;23059;400004;4209987;400004;4209987;-40822;380153;-48206;381409;DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ;;;;;399892;4209781;
5111;GUADALMELLATO                      ;INT 1931                                                              ;0;1197;1287;902;183;;1;2;0;5162;14047;353160;4211980;353160;4211980;-44024;380235;-44029;380230;;;;;;353049;4211774;
5113;ALMODOVAR DEL RIO                  ;INT 1978                                                              ;0;27407;54970;943;71;3139;11;11;0;5193;14005;322453;4186375;322453;4186375;-50100;374825;-50105;374820;;;;;;322342;4186169;
