ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
1430;RIO COBO;1;;27013;3;625742;4837476;142071;4845881;-72624;434044;-72630;434040;49.5;49;1983;27;28;141959;4845676;
1445;FORCADAS;1;;15087;7;573920;4829810;89741;4841976;-80502;433701;-80508;433657;0;167.5;1982;23;23;89629;4841771;
1454;RIBEIRA, LA;1;;15070;23;594793;4812690;109361;4823359;-74942;432737;-74947;432733;0;400.4;1262;37;37;109249;4823154;
1456;EUME;1;;15070;22;580208;4806718;94357;4818443;-80034;432430;-80039;432426;320;318;1272;47;48;94245;4818238;
1507;FERVENZA;1;;15034;93;499240;4759689;10017;4777243;-90034;425921;-90039;425917;0;285;1302;37;37;9905;4777037;
1510;VILLAGUDIN;1;LOS DATOS DE SALIDAS DEL 10/2000 AL 01/2003 SON PROVISIONALES SUJETOS A REVISION                                        ;15084;70;541363;4771652;53004;4786186;-82930;430544;-82936;430540;282;279;1318;13;13;52892;4785980;
1528;BARRIE DE LA MAZA;1;LOS DATOS DE SALIDAS DEL 10/2000 AL 01/2003 SON PROVISIONALES SUJETOS A REVISION                                        ;15056;94;516707;4746060;26514;4762359;-84744;425158;-84749;425154;248;248;1330;49;49;26402;4762153;
1546;PORTODEMOUROS;1;SE HAN MODIFICADO LOS CAUDALES DESDE 1992/93 A 1994/1995                                                                ;15006;95;566286;4745413;76042;4758170;-81119;425128;-81125;425123;252.8;252;1344;37;37;75930;4757964;
