basin,KGE
1105,0.5337507588818824
1106,0.7337527317753367
1109,0.7200429622522111
1295,0.5329890188221481
1343,0.4719964226095634
1363,0.4311377330408884
1369,0.5524524107754816
1378,0.7674665464394795
1395,0.45003856493606964
1414,0.6629090592844261
1427,0.5546388205793624
1431,0.603626022571295
1441,0.5818126766804912
1443,0.6292593062972776
1485,0.8706627249975807
1520,0.5480218328515691
1522,0.7894626707974107
1546,0.7352479601892652
1552,0.518900785593095
1585,0.16887721214383722
1605,0.7870215368449351
1619,0.6682642901381406
1620,0.6438936311618102
1624,0.7984912405330246
1638,0.8014947993826642
1659,0.7330372999779935
1715,0.4726357382744377
1721,0.6492460556235254
1723,0.8057007589927578
1725,0.4641644557296105
1726,0.9058659158284577
1728,0.830188233694333
1729,0.24530305195974922
1734,0.6079077593480506
1753,0.42213482922188206
1823,0.29622392970477285
1824,0.6697167288627046
2000,0.6205891605828606
2005,0.7663917301977343
2015,0.6808670549702511
2017,0.4684893834451017
2025,0.6834466588035644
2028,0.6331529828467435
2031,0.7733611903631493
2036,0.7189668929198462
2041,0.25844773027894175
2046,0.5882240793470994
2047,0.24556766930738094
2049,0.5819330484768082
2053,0.6713324941605927
2056,0.5925574246123775
2057,0.7885302637474394
2060,0.7065657981355324
2062,0.6064090537489684
2081,0.5880329683017551
2082,0.6257572882370779
2089,0.7322669079826747
2098,0.42342415449185133
2101,0.5390505825178074
2104,0.844496855353722
2105,0.7449269320278054
2114,0.21841094953492934
2115,0.7587286515206293
2116,0.5659383096593266
2121,0.595653383820478
2125,0.6182604686114452
2126,-0.2220357294151929
2131,0.6216003266742407
2132,0.7017585528923753
2139,0.8408092604918049
2141,0.7020646700138233
2143,0.41183510460418493
2144,0.6766075956635788
2711,0.6422207851325014
2712,0.3301480872171949
2713,0.6476385638254714
2716,-0.2091005567910884
2818,0.718455080977427
3012,0.4993561297006308
3030,0.6266784282931088
3040,0.21056560146336534
3045,0.7077478746845556
3062,0.3873623457411183
3103,0.6752084468458484
3144,0.626359156721642
3163,0.40885331960838067
3165,0.5033420366070531
3169,0.50068750080617
3174,0.6989299892938121
3180,0.6146644868029465
3186,0.08917631540193938
3193,-0.014543304206326768
3198,0.5486579798936759
3200,0.7263206493801353
3213,0.28050448363745595
3217,0.43433639165100135
3218,0.5873893978355574
3220,0.5082700402400278
3221,0.5363646500345645
3222,0.049750074315647264
3235,0.4888341174334886
3242,0.5007777127415614
3244,-0.029036799353023612
3246,0.09296727009759076
3250,-0.5329216138466653
3261,0.38570793302181106
3279,0.446058426534945
5045,0.39315542386606106
5056,0.5280157688476101
5083,0.22906034399324815
5123,0.4873634609872034
5138,0.20733034271798123
5141,0.4740946311040889
5145,0.38678568964774007
8029,0.045461980822432246
8060,-0.1788838517074891
8087,0.4304429447936955
8091,0.4865773450777531
8118,0.1615386239176504
8126,0.5612110708251568
9002,0.7784424424096327
9003,0.7240221389255426
9011,0.6336523884085132
9020,0.5398171779164392
9023,0.7553295050782471
9030,0.7383652275436698
9040,0.6691692625889587
9044,0.6621429928961382
9051,0.24916501330903018
9063,0.6375808815325346
9068,0.6984411897336646
9069,0.8336324859308099
9070,0.8310766599271024
9073,0.4050809546153391
9075,0.6310539061524901
9088,0.48619983957427015
9089,0.4117181405871091
9092,0.8074245175450945
9093,0.6659366121798844
9120,0.8556694082407413
9139,0.5140680694363506
9159,0.6537432956874898
9165,0.6008027475052853
9166,0.7424109774499721
9170,0.3863774639161751
9177,0.310004097039151
9184,0.22026101988846725
9187,0.41511123542110295
9188,0.7947386227924578
9197,0.5713500436651728
9215,0.18730823254776197
9252,0.4597794481214226
9256,0.6518913132399489
9261,0.7039631067881724
9263,0.573507596318444
9270,0.764939967279862
9271,0.37451583246727316
9281,0.3223320641209997
9284,0.5818092076741179
9291,0.08519282005063045
9321,0.5400695483811166
9323,0.6990330673555606
9324,0.8304820362742653
