indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih,cuenca,caudal,ini_cal,fin_cal,sel,geometry
1080,ANDOAIN,,1,765,861,64,38.0000,1544.0000,65,65,29,1028,20009,579176,4786841,579176,4786841,-2.0130,43.1346,-2.0135,43.1342,"POR FALTA DE FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICA Q, SOLO H",579070,4786632,A149,CANTABRICO,1,2003,2011,1,POINT (-2.026305016215147 43.2283376512795)
1103,ALZOLA,INT 2003,0,456,531,63,44.0000,1544.0000,35,35,23,1042,20032,548747,4786678,548747,4786678,-2.2359,43.1350,-2.2404,43.1346,,548642,4786470,A800,CANTABRICO,1,1991,1999,1,POINT (-2.400993722110718 43.229454526424824)
1105,EREÑOZU,,1,215,266,64,28.0000,1139.0000,52,52,36,1018,20040,586038,4788616,586038,4788616,-1.5625,43.1441,-1.5630,43.1437,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",585932,4788406,A900,CANTABRICO,1,2012,2020,1,POINT (-1.9415411478046023 43.24355892650569)
1106,ENDARLAZA,,1,681,705,65,18.0000,1418.0000,50,50,28,1012,20045,603146,4794568,603146,4794568,-1.4343,43.1746,-1.4347,43.1742,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",603040,4794358,A140,CANTABRICO,1,2012,2020,1,POINT (-1.7297476391289515 43.294997933956026)
1109,ECHABE,INT 2007,0,304,343,63,19.0000,1423.0000,34,34,23,1034,20003,562244,4790950,562244,4790950,-2.1359,43.1605,-2.1404,43.1601,,562139,4790741,A802,CANTABRICO,1,1999,2007,1,POINT (-2.234315106580448 43.266919182230254)
1163,LEMONA (IBAIZABAL),,1,251,472,62,69.0000,1157.0000,51,51,8,1065,48055,520014,4784559,520014,4784559,-2.4513,43.1246,-2.4518,43.1242,,519908,4784351,A145,CANTABRICO,1,2012,2020,1,POINT (-2.7549121188378214 43.21167918795956)
1265,OJEDO,,1,290,1184,81,282.0000,2538.0000,27,27,11,1124,39022,369031,4780236,369031,4780236,-4.3640,43.0946,-4.3645,43.0942,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",368924,4780031,A703,CANTABRICO,1,2007,2015,1,POINT (-4.612349647527705 43.16167893656498)
1268,PUENTELLES,,1,643,1184,56,56.0000,2536.0000,51,51,30,1128,33047,369784,4797493,369784,4797493,-4.3621,43.1906,-4.3626,43.1902,,369677,4797288,A078,CANTABRICO,1,2007,2015,1,POINT (-4.607169240345004 43.3171423025187)
1295,CANGAS DE ONIS,,1,486,1246,31,58.0000,2596.0000,89,89,2,1140,33012,327313,4802165,327313,4802165,-5.0751,43.2106,-5.0756,43.2102,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",327205,4801960,A602,CANTABRICO,1,2006,2014,1,POINT (-5.132101278362612 43.35062652310033)
1302,OZANES,,1,486,509,31,33.0000,,46,46,17,1143,33045,323115,4804112,323106,4804091,-5.1059,43.2205,-5.1104,43.2201,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",322998,4803886,A604,CANTABRICO,1,2012,2020,1,POINT (-5.1845964097341195 43.36697739249976)
1343,SAN CUCAO,,1,314,382,28,121.0000,793.0000,50,50,11,1173,33035,265898,4811514,265898,4811514,-5.5330,43.2509,-5.5335,43.2505,,265789,4811309,A064,CANTABRICO,1,2012,2020,1,POINT (-5.893083105739293 43.41807519222985)
1353,CORIAS,,1,531,1850,50,352.0000,2007.0000,95,106,16,1183,33011,699538,4785395,211993,4788569,-6.3240,43.1139,-6.3245,43.1135,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",211883,4788364,A606,CANTABRICO,1,2007,2015,1,POINT (-6.54579397000306 43.1930936575944)
1363,VEGA DEL REY,,1,232,923,78,352.0000,2386.0000,38,38,16,1155,33033,270986,4778210,270986,4778210,-5.4854,43.0716,-5.4859,43.0712,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",270877,4778005,A058,CANTABRICO,1,1995,2003,1,POINT (-5.8164537666193 43.120120698767785)
1365,MOREDA,INT 2013,0,265,375,78,334.0000,2115.0000,42,42,15,1158,33002,278116,4783215,278116,4783215,-5.4346,43.1006,-5.4351,43.1002,,278007,4783010,A060,CANTABRICO,1,2005,2013,1,POINT (-5.730913101392507 43.167261756578455)
1369,PARTEAYER,INT 2014,0,893,923,52,158.0000,,58,63,1,1165,33038,266766,4796485,266773,4796507,-5.5228,43.1704,-5.5233,43.1700,DATOS MODIFICADOS 2007-08 (ANUARIO 13-14),266664,4796303,A607,CANTABRICO,1,2006,2014,1,POINT (-5.875903778141078 43.28339681331053)
1378,GRADO,,1,210,214,28,56.0000,1454.0000,53,53,16,1175,33026,737726,4808327,251740,4808706,-6.0354,43.2322,-6.0359,43.2318,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",251631,4808501,A608,CANTABRICO,1,2009,2017,1,POINT (-6.066455118412438 43.38827125982701)
1395,TREVIAS,,1,411,467,12,35.0000,1291.0000,51,51,30,1200,33034,707379,4819933,222300,4822470,-6.2606,43.3010,-6.2611,43.3006,,222190,4822266,A609,CANTABRICO,1,2000,2008,1,POINT (-6.436342025199142 43.501677322375606)
1404,SAN ANTOLIN,,1,294,389,74,262.0000,1987.0000,50,48,8,1217,33028,673142,4769386,184500,4774480,-6.5226,43.0324,-6.5231,43.0320,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",184390,4774274,A610,CANTABRICO,1,1998,2006,1,POINT (-6.875406266317028 43.05552874706166)
1414,SUEIRO,,1,123,144,10,32.0000,,44,43,25,1236,33023,671718,4821912,186852,4827017,-6.5230,43.3147,-6.5235,43.3143,"FALTA FIABILIDAD EN CURVA DE GASTO, NO SE PUBLICAN Q PARA TODAS LAS H",186741,4826812,A613,CANTABRICO,1,1997,2005,1,POINT (-6.876511311768667 43.52851112075845)
1424,RIBEIRA DE PIQUIN,,1,346,819,48,241.0000,1111.0000,14,14,2,1240,27053,646476,4782543,158818,4789527,-7.1152,43.1050,-7.1157,43.1046,,158707,4789322,A047,CANTABRICO,1,2012,2020,1,POINT (-7.199221934956591 43.17956813527824)
1427,SAN TIRSO DE ABRES,,1,712,819,25,21.0000,1111.0000,98,108,30,1244,33063,650387,4808608,164597,4815273,-7.0833,43.2452,-7.0838,43.2448,,164486,4815068,A048,CANTABRICO,1,2007,2015,1,POINT (-7.144000581752185 43.413381721332726)
1431,MASMA,,1,145,291,24,46.0000,1056.0000,49,49,21,1246,27030,634725,4815304,149439,4823089,-7.2003,43.2840,-7.2009,43.2836,,149328,4822884,,GALICIA,1,2012,2020,1,POINT (-7.335723969655435 43.476627934017706)
1433,SAN ACISCLO,,1,163,189,9,32.0000,1064.0000,49,49,21,1248,27019,631158,4824168,146517,4832199,-7.2234,43.3329,-7.2240,43.3325,,146405,4831994,,GALICIA,1,2012,2020,1,POINT (-7.377681208846851 43.55704268982263)
1438,CHAVIN,,1,198,270,8,15.0000,,44,44,8,1250,27066,613777,4830661,129626,4839941,-7.3524,43.3710,-7.3529,43.3706,,129514,4839736,,GALICIA,1,2012,2020,1,POINT (-7.591445073954849 43.61833997235031)
1441,"MORGALLON, O",,1,185,202,2,45.0000,,13,13,0,1252,27064,605313,4839865,121837,4849748,-7.4135,43.4213,-7.4140,43.4209,,121725,4849543,,GALICIA,1,2012,2020,1,POINT (-7.694526479073079 43.702433032571186)
1443,SANTA MARIA DE MERA,,1,102,127,7,21.0000,757.0000,49,49,11,1254,15061,588135,4832611,104149,4843745,-7.5426,43.3826,-7.5432,43.3822,LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION,104037,4843540,,GALICIA,1,2012,2020,1,POINT (-7.9088615744181014 43.639366221559385)
1464,MUÑIFERAL,,1,248,457,46,242.0000,600.0000,48,48,13,1278,15039,576732,4789036,89609,4801023,-8.0317,43.1458,-8.0323,43.1454,LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION,89497,4800817,,GALICIA,1,2012,2020,1,POINT (-8.056334761885745 43.24830889985734)
1485,ANLLONS,,1,438,516,43,17.0000,564.0000,49,49,15,1290,15068,509315,4786327,22010,4803165,-8.5307,43.1344,-8.5313,43.1340,LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION,21898,4802959,,GALICIA,1,2009,2017,1,POINT (-8.886828400633586 43.22774753433846)
1512,A PONTE DE TRUEBE,,1,201,504,93,300.0000,,13,12,0,1300,15077,509117,4760611,19964,4777457,-8.5317,42.5950,-8.5323,42.5946,,19852,4777251,,GALICIA,1,2012,2020,1,POINT (-8.889688932965516 42.99618120342934)
1520,CAROLLO,,1,561,1526,95,240.0000,764.0000,20,19,1,1316,15060,549037,4758477,59732,4772463,-8.2355,42.5836,-8.2401,42.5832,LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION,59620,4772257,,GALICIA,1,2012,2020,1,POINT (-8.400162120511615 42.975445843466495)
1522,VILACIDE DE ARRIBA,,1,311,1526,95,228.0000,,13,13,0,1323,15060,544499,4760158,55316,4774469,-8.2715,42.5931,-8.2720,42.5927,LOS DATOS DE 2008-09 SON PROVISIONALES PENDIENTES DE REVISION,55204,4774263,,GALICIA,1,2012,2020,1,POINT (-8.455669282339318 42.99086429536169)
1540,VIDALOISO (BASTABALES),,1,138,266,120,123.0000,533.0000,20,19,1,1355,15013,528855,4742250,38391,4757681,-8.3849,42.4953,-8.3855,42.4949,LOS DATOS DE 2005-06 Y 2007-08 SON PROVISIONALES PENDIENTES DE REVISION,38279,4757475,,GALICIA,1,2012,2020,1,POINT (-8.648493730773062 42.8303550421418)
1542,PUENTE BARAZON,,1,150,152,96,317.0000,797.0000,48,48,3,1337,15079,580144,4745735,89917,4757502,-8.0108,42.5133,-8.0114,42.5129,LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION,89806,4757296,,GALICIA,1,2012,2020,1,POINT (-8.02051425781484 42.85808603086844)
1544,A PONTE NOVA,,1,516,2804,96,309.0000,951.0000,48,48,2,1338,15079,579761,4744476,89444,4756271,-8.0126,42.5053,-8.0131,42.5048,LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION,89333,4756065,,GALICIA,1,2012,2020,1,POINT (-8.02538404679612 42.846789488156695)
1546,PONTE CIRELA,,1,328,1787,122,315.0000,,13,12,0,1339,36020,573583,4736754,82718,4748994,-8.0602,42.4645,-8.0607,42.4640,,82607,4748788,,GALICIA,1,2012,2020,1,POINT (-8.101992474140898 42.77788030519927)
1552,PUENTE CIRA,,1,545,551,121,278.0000,1003.0000,47,47,0,1349,36052,554314,4736495,63437,4750109,-8.2010,42.4642,-8.2015,42.4638,LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION,63326,4749902,,GALICIA,1,2012,2020,1,POINT (-8.337558334166577 42.77714228637289)
1578,"COUSO, O",,1,408,450,185,35.0000,,13,13,0,1362,36038,531847,4700260,38395,4715474,-8.3646,42.2712,-8.3651,42.2708,,38283,4715267,,GALICIA,1,2012,2020,1,POINT (-8.614221463619593 42.45208472285587)
1585,PONTECALDELAS,,1,103,333,186,288.0000,,13,12,0,1366,36043,541267,4693432,47331,4707978,-8.2955,42.2329,-8.3001,42.2325,,47219,4707771,,GALICIA,1,2012,2020,1,POINT (-8.50016192577736 42.39015092003592)
1605,PONTEVILAR,,1,754,17026,47,398.0000,,14,13,0,1378,27010,618164,4780706,130409,4789723,-7.3247,43.1009,-7.3252,43.1005,LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION,130298,4789518,A003,MINHO,1,2012,2020,1,POINT (-7.5478555724778165 43.16797997881293)
1619,BEGONTE,,1,843,887,72,395.0000,905.0000,51,51,26,1387,27007,606634,4778362,118722,4788209,-7.4119,43.0859,-7.4124,43.0855,DATOS DE 2008-09 PROVISIONALES PENDIENTES DE REVISION. DATOS MODIFICADOS 1999-00 (ANUARIO 13-14),118611,4788003,A008,MINHO,1,2012,2020,1,POINT (-7.6901149513141425 43.14858505767492)
1620,GONDAY,,1,192,206,72,386.0000,,14,13,0,1389,27039,610318,4769335,121755,4778926,-7.3842,43.0405,-7.3848,43.0400,LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION,121644,4778720,A009,MINHO,1,2012,2020,1,POINT (-7.64661724124192 43.06678928603753)
1622,LUGO,,1,2210,17026,72,378.0000,,13,13,0,1390,27028,615201,4764737,126304,4773983,-7.3510,43.0133,-7.3515,43.0129,,126193,4773777,N001,MINHO,1,2012,2020,1,POINT (-7.587612540170191 43.024672998608835)
1624,"PARAMO, EL",,1,831,831,97,355.0000,,14,13,0,1401,27043,620399,4747858,130291,4756750,-7.3134,42.5223,-7.3139,42.5219,LOS DATOS DE 2007-08 Y 2008-09 SON PROVISIONALES PENDIENTES DE REVISION,130180,4756544,A015,MINHO,1,2012,2020,1,POINT (-7.527456116426355 42.871922304902476)
1638,CARBALLINO,,1,133,184,187,378.0000,,14,13,0,1479,32019,575683,4698887,82126,4710994,-8.0447,42.2616,-8.0453,42.2612,LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION,82014,4710787,A037,MINHO,1,2012,2020,1,POINT (-8.081358702237834 42.43668652840623)
1647,TUY,,1,150,156,261,10.0000,744.0000,37,36,5,1502,36055,530224,4657437,33745,4672760,-8.3805,42.0404,-8.3810,42.0359,,33633,4672553,A044,MINHO,1,2012,2020,1,POINT (-8.636189600402316 42.06648705859989)
1659,ARNOYA,,1,739,746,225,80.0000,,14,13,0,1486,32003,571282,4678299,76271,4690725,-8.0809,42.1510,-8.0815,42.1506,LOS DATOS DE 2007-08 A 2009-10 SON PROVISIONALES PENDIENTES DE REVISION,76159,4690518,A041,MINHO,1,2012,2020,1,POINT (-8.137396201793143 42.2517049648512)
1715,BOEZA,,1,106,867,127,827.0000,,14,13,0,1415,24071,721935,4729595,230361,4731290,-6.1728,42.4110,-6.1733,42.4106,LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION,230251,4731084,A019,MINHO,1,2012,2020,1,POINT (-6.29254103161666 42.68491660587758)
1721,CACABELOS,,1,544,1200,158,474.0000,,14,14,0,1425,24030,686592,4719091,194344,4723315,-6.4332,42.3603,-6.4337,42.3559,,194233,4723109,N004,MINHO,1,2012,2020,1,POINT (-6.727034688811404 42.599779652449854)
1723,FABERO,,1,216,1200,126,644.0000,,14,13,0,1423,24196,692564,4736808,201563,4740575,-6.3849,42.4532,-6.3854,42.4528,LOS DATOS DE 2007-08 Y 2008-09 SON PROVISIONALES PENDIENTES DE REVISION,201453,4740369,A022,MINHO,1,2012,2020,1,POINT (-6.648280176900247 42.75772869026609)
1725,VEGUELLINA,DATOS 2013-14 NO EXISTE RELACION DIRECTA Y UNIVOCA ENTRE VARIABLES H-Q,1,118,501,126,689.0000,,13,13,0,1426,24209,682003,4730994,190608,4735523,-6.4640,42.4233,-6.4645,42.4229,LOS DATOS DE 2009-10 SON PROVISIONALES PENDIENTES DE REVISION.,190498,4735317,A142,MINHO,1,2012,2020,1,POINT (-6.779111222715044 42.70799241850998)
1726,VILLAFRANCA DEL BIERZO,DATOS 2013-14 NO EXISTE RELACION DIRECTA Y UNIVOCA ENTRE VARIABLES H-Q,1,434,501,158,491.0000,,14,13,0,1428,24209,679178,4719576,186977,4724325,-6.4857,42.3625,-6.4902,42.3621,LOS DATOS DE 2007-08 Y 2008-09 SON PROVISIONALES PENDIENTES DE REVISION,186866,4724119,A026,MINHO,1,2012,2020,1,POINT (-6.817195180669627 42.605901128725996)
1728,REQUEJO,,1,3100,7983,158,413.0000,,13,13,0,1430,24041,678907,4708759,185940,4713546,-6.4921,42.3035,-6.4926,42.3031,LOS DATOS DE 2008-09 SON PROVISIONALES PENDIENTES DE REVISION,185829,4713340,N007,MINHO,1,2012,2020,1,POINT (-6.823882096480941 42.508623021897215)
1729,OENCIA,,1,113,193,157,575.0000,,13,13,0,1431,24103,667936,4711256,175164,4716815,-6.5718,42.3205,-6.5724,42.3201,LOS DATOS DE 2008-09 Y 2009-10 SON PROVISIONALES PENDIENTES DE REVISION,175053,4716609,N008,MINHO,1,2012,2020,1,POINT (-6.956597158330079 42.53354514338836)
1734,PUENTE DE DOMINGO FLOREZ,,1,558,561,191,365.0000,2135.0000,94,104,29,1433,24122,680281,4698355,186576,4703062,-6.4832,42.2457,-6.4838,42.2453,DATOS MODIFICADOS 1944-45 (ANUARIO 13-14),186465,4702856,A029,MINHO,1,2005,2013,1,POINT (-6.810432565641969 42.41467204569298)
1753,PARADA,,1,369,370,189,242.0000,,14,13,0,1457,27050,636012,4702606,142670,4710438,-7.2045,42.2747,-7.2050,42.2743,LOS DATOS DE 2007-08 Y 2008-09 SON PROVISIONALES PENDIENTES DE REVISION,142559,4710232,A031,MINHO,1,2012,2020,1,POINT (-7.347214164976633 42.461952283329275)
1765,RIVAS ALTAS,,1,353,734,156,305.0000,1186.0000,95,101,31,1465,27031,625038,4712750,132427,4721349,-7.2837,42.3323,-7.2842,42.3318,"PROVISIONALES 2008-09. DATOS MODIFICADOS 43-45,47-49,50-51,54-56,57-59,60-61(ANUARIO13-14)",132316,4721143,A033,MINHO,1,2012,2020,1,POINT (-7.478427720691622 42.55512747739049)
1823,BOUZA DO VISO,,1,400,411,262,15.0000,,10,10,0,1500,36050,540906,4661676,44727,4676247,-8.3019,42.0619,-8.3024,42.0615,,44615,4676040,N023,MINHO,1,2012,2020,1,POINT (-8.506779492485276 42.10418045485599)
1824,GUNTIN,,1,166,268,97,409.0000,,10,10,0,1403,27023,605827,4749027,115816,4758958,-7.4215,42.5309,-7.4220,42.5305,,115705,4758752,N024,MINHO,1,2012,2020,1,POINT (-7.705600308827637 42.88460239693134)
1829,PUENTE FREIJO,,1,533,746,225,316.0000,,10,10,0,1484,32020,585153,4672847,89751,4684297,-7.5807,42.1209,-7.5812,42.1204,,89640,4684090,N029,MINHO,1,2012,2020,1,POINT (-7.970061187988845 42.20122592118636)
2000,VINUESA,,1,126,157,317,1090.0000,1880.0000,59,59,25,2004,42215,520210,4640160,520210,4640160,-2.4523,41.5445,-2.4527,41.5441,,520102,4639952,,DUERO,1,2012,2020,1,POINT (-2.7576104367250256 41.91125996741275)
2005,OSMA,,1,900,1035,377,890.0000,1335.0000,74,74,43,2060,42043,493125,4602860,493125,4602860,-3.0457,41.3436,-3.0502,41.3432,,493016,4602652,,DUERO,1,2012,2020,1,POINT (-3.083775424468759 41.575521507691334)
2012,SEPULVEDA,,1,480,1450,431,920.0000,2262.0000,71,77,37,2106,40195,438350,4572605,438350,4572605,-3.4411,41.1807,-3.4416,41.1802,,438241,4572398,,DUERO,1,2012,2020,1,POINT (-3.73769849193888 41.30067383902967)
2013,ARANDA DE DUERO,,1,7356,97620,375,790.0000,2315.0000,48,48,35,2067,9018,443439,4611795,443439,4611795,-3.4045,41.3919,-3.4050,41.3914,,443331,4611587,,DUERO,1,2012,2020,1,POINT (-3.680586463678748 41.654017083952326)
2015,HERRERA DE DUERO,,1,12740,97620,372,690.0000,2315.0000,98,108,61,2111,47175,361160,4603018,361160,4603018,-4.3954,41.3358,-4.3959,41.3354,,361051,4602811,,DUERO,1,2012,2020,1,POINT (-4.6664385847345295 41.56490677302473)
2016,PAJARES DE PEDRAZA,,1,280,2525,457,938.0000,2209.0000,98,108,53,2112,40019,428405,4557885,428405,4557885,-3.5112,41.1006,-3.5117,41.1002,,428296,4557678,,DUERO,1,2012,2020,1,POINT (-3.8547487878837847 41.167270262413815)
2017,NAVAPALOS,,1,6398,97620,377,868.0000,2315.0000,31,31,17,2063,42043,491500,4595350,491500,4595350,-3.0607,41.3032,-3.0611,41.3028,,491392,4595142,,DUERO,1,2012,2020,1,POINT (-3.1031482715023038 41.50786028443864)
2025,VILLANUEVA DE LOS INFANTES,,1,870,998,344,733.0000,,23,23,11,2209,47221,376870,4617815,376870,4617815,-4.2847,41.4207,-4.2852,41.4203,,376762,4617608,,DUERO,1,2012,2020,1,POINT (-4.481125707123278 41.700718622095586)
2026,ABIA DE LAS TORRES,,1,623,1063,198,816.0000,,21,21,9,2149,34003,383402,4697955,383402,4697955,-4.2502,42.2528,-4.2507,42.2524,,383294,4697748,,DUERO,1,2012,2020,1,POINT (-4.41861972615395 42.42327076552138)
2028,SALAS DE LOS INFANTES,,1,349,5380,277,958.0000,2131.0000,63,63,37,2161,9330,477119,4653831,477119,4653831,-3.1635,42.0208,-3.1640,42.0204,,477011,4653623,,DUERO,1,2012,2020,1,POINT (-3.2777349845742036 42.0343105052946)
2029,CORDOVILLA,,1,4227,15828,274,740.0000,2139.0000,98,108,47,2156,34063,396833,4665232,396833,4665232,-4.1454,42.0754,-4.1458,42.0750,,396725,4665025,,DUERO,1,2012,2020,1,POINT (-4.2495641893802505 42.130534463477034)
2030,COVARRUBIAS,,1,1200,5380,277,881.0000,2131.0000,97,107,48,2165,9113,458015,4656096,458015,4656096,-3.3027,42.0318,-3.3031,42.0314,,457907,4655889,,DUERO,1,2012,2020,1,POINT (-3.508690433073507 42.05392816641004)
2031,PERAL DE ARLANZA,,1,2413,5380,275,770.0000,2131.0000,99,109,48,2169,9262,410823,4659303,410823,4659303,-4.0441,42.0448,-4.0446,42.0444,,410715,4659096,,DUERO,1,2012,2020,1,POINT (-4.079419025234799 42.07886288006853)
2036,QUINTANA DEL PUENTE,,1,5256,5380,274,740.0000,2131.0000,97,107,45,2193,34084,397462,4656950,397462,4656950,-4.1421,42.0326,-4.1426,42.0322,,397354,4656743,,DUERO,1,2012,2020,1,POINT (-4.240501162111695 42.05604261787077)
2041,VILLALCAZAR DE SIRGA,,1,312,655,235,795.0000,1120.0000,73,75,56,2202,34215,374538,4686895,374538,4686895,-4.3121,42.1924,-4.3126,42.1920,,374430,4686688,,DUERO,1,2012,2020,1,POINT (-4.523920706410591 42.32231503446806)
2043,CABEZON DE PISUERGA,,1,14283,15828,343,698.0000,2139.0000,80,90,60,2206,47027,363795,4622535,363795,4622535,-4.3817,41.4432,-4.3821,41.4428,,363687,4622328,,DUERO,1,2012,2020,1,POINT (-4.639287547266593 41.74108242346898)
2046,AVILA,,1,770,5275,531,1066.0000,2297.0000,96,106,38,2214,5019,355772,4501495,355772,4501495,-4.4221,40.3904,-4.4226,40.3859,,355663,4501288,,DUERO,1,2012,2020,1,POINT (-4.707181425474013 40.64983832261001)
2047,MEDIANA DE VOLTOYA,,1,140,1074,506,1089.0000,1580.0000,61,61,42,2228,5123,370102,4508686,370102,4508686,-4.3216,40.4305,-4.3221,40.4301,,369993,4508479,,DUERO,1,2012,2020,1,POINT (-4.539240525881323 40.71697788271632)
2049,CABAÑES DE ESGUEVA,,1,271,998,346,871.0000,1412.0000,77,77,56,2207,9061,434465,4631375,434465,4631375,-3.4721,41.4951,-3.4726,41.4947,,434357,4631168,,DUERO,1,2012,2020,1,POINT (-3.7905138183924922 41.82967919282093)
2050,SEGOVIA,,1,252,2968,483,900.0000,2430.0000,87,97,40,2219,40194,403507,4534119,403507,4534119,-4.0852,40.5702,-4.0847,40.5707,DATOS MODIFICADOS 2014-15 (ANUARIO 15-16),403398,4533912,,DUERO,1,2012,2020,1,POINT (-4.147768652002756 40.950641220555944)
2053,BERNARDOS,,1,1438,2968,456,782.0000,2430.0000,57,57,30,2227,40030,387275,4557134,387275,4557134,-4.2036,41.0925,-4.2041,41.0921,,387166,4556927,,DUERO,1,2012,2020,1,POINT (-4.344795697009934 41.15582604595968)
2054,SAN MIGUEL DEL PINO,,1,36570,97620,371,670.0000,2815.0000,91,101,40,2231,47146,338985,4596727,338985,4596727,-4.5545,41.3019,-4.5550,41.3015,,338876,4596520,,DUERO,1,2012,2020,1,POINT (-4.930566440594485 41.504112582786824)
