basin,KGE
1105,0.8055657046597253
1106,0.8680740885996185
1109,0.7098078636376884
1295,0.6556677711182031
1343,0.587114709424861
1363,0.746145624640606
1369,0.6327488570393983
1378,0.9120683709540942
1395,0.6265648408413251
1414,0.8671036647772309
1427,0.8442712188063004
1431,0.8744097855047877
1441,0.8391381977335785
1443,0.7670599013006641
1485,0.918732741910131
1520,0.9453472685521571
1522,0.9270491675013478
1546,0.9442726272863825
1552,0.9197985445181819
1585,0.6989412978911923
1605,0.9284187097027017
1619,0.8616123050790393
1620,0.8170162367222178
1624,0.9478911654512664
1638,0.7504312393728161
1659,0.8511214310078535
1715,0.6470917138849577
1721,0.7913740758998988
1723,0.9419719786822147
1725,0.7048246138540208
1726,0.9139977018718543
1728,0.8231042412333927
1729,0.7435381381615822
1734,0.9036361750088642
1753,0.9163047639955517
1823,0.7479008275068427
1824,0.898636401731049
2000,0.8639318933674562
2005,0.9429333788283747
2015,0.8388762948264533
2017,0.7871994771186159
2025,0.7427196309163917
2028,0.8530959237254132
2031,0.8727341393024061
2036,0.8436962029046575
2041,0.6325463472879329
2046,0.8212983428453193
2047,0.6279151542562958
2049,0.8413097981098945
2053,0.8377050642412294
2056,0.8144569036193888
2057,0.8694617718873663
2060,0.8498610210097948
2062,0.8689846230150613
2081,0.8480134506169509
2082,0.9355235288698448
2089,0.9156431563342541
2098,0.738085617616737
2101,0.7545652555381178
2104,0.8715302199282606
2105,0.7700049070015234
2114,0.24751767357869858
2115,0.799747946073161
2116,0.8704165863339854
2121,0.892923742224889
2125,0.6623995231900313
2126,-0.155948951379016
2131,0.8283540352828679
2132,0.8852634730988753
2139,0.865676786295336
2141,0.8156661126632005
2143,0.810382327303548
2144,0.6082029796277193
2711,0.7331321239501019
2712,0.4424853032565459
2713,0.8684737486152923
2716,0.07595185719477304
2818,0.8945232340159234
3012,0.733076700609089
3030,0.6650972391182772
3040,0.797067077944172
3045,0.8928701553489754
3062,0.7016873263468262
3103,0.5045857527243189
3144,0.8039880674734714
3163,0.8441509548214694
3165,0.8391327404519668
3169,0.3885499752685859
3174,0.800789869821705
3180,0.8644395228238579
3186,-0.7600085039317286
3193,0.2888222346886088
3198,0.7103732441741095
3200,0.8301188399038614
3213,0.7514819449410108
3217,0.6886420164712834
3218,0.8958326720876089
3220,0.5605058942763168
3221,0.8195325599029487
3222,0.45378404916631987
3235,0.710661715369544
3242,0.8478756977516229
3244,0.8785596836398482
3246,0.40367183279906194
3250,0.541657274044828
3261,0.7836054827046575
3279,0.4842201044228006
5045,0.5608529224523289
5056,0.5829131735826787
5083,0.26824307466354214
5123,0.531187730955813
5138,0.7252796271435815
5141,0.5405808341268804
5145,0.7155513170926999
8029,0.20968984289719983
8060,-1.2842958437046903
8087,0.5925496544104056
8091,0.6727796877006139
8118,0.019299828974528532
8126,0.8969626165420884
9002,0.8594039998444688
9003,0.7630711837249549
9011,0.7888338087392048
9020,0.7570034428142846
9023,0.8582583292176036
9030,0.7991845238193569
9040,0.8517769401003537
9044,0.8103112864722073
9051,0.724327855549797
9063,0.8334409228521995
9068,0.8661596651903961
9069,0.8212849770433575
9070,0.8657770097222337
9073,0.6811643617208734
9075,0.866422731936993
9088,0.5894939016376328
9089,0.6808983221178518
9092,0.8962162802028133
9093,0.7832145815344245
9120,0.740972075416654
9139,0.7662942329802735
9159,0.8961834431886918
9165,0.8657370789455193
9166,0.8106825845781562
9170,0.8128861361812756
9177,0.7782515311397322
9184,0.46464555938852314
9187,0.670573638436089
9188,0.7124686894112735
9197,0.7832402853122804
9215,0.41325861043907297
9252,0.8853056552534775
9256,0.8000236337604905
9261,0.8365634399525934
9263,0.7610266665550397
9270,0.7892476744101569
9271,0.6141565396343944
9281,0.7661731377560365
9284,0.8360845503116487
9291,0.3770299699444255
9321,0.7440627400790465
9323,0.8888136338721254
9324,0.8413769234038385
