ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
8001;ALARCON;1;DESDE 06/95 SALIDAS NO INCLUYE EL TRASVASE TAJO-SEGURA.DATOS 2002-05, 2008-10, 2013-14, 2015-17 Y 2018-19 EN REVISION   ;16003;691;576382;4380018;576382;4380018;-20639;393357;-20643;393353;0;806;8048;63;77;576272;4379810;4E02
8002;ALCORA;1;LOS DATOS DE 2002-03. 2004-05, 2005-06 Y 2016-17  SON PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION            ;12005;615;737280;4442540;737280;4442540;-1259;400557;-1304;400552;303;302.5;8200;63;64;737170;4442331;1E02
8003;ALMANSA;1;LOS DATOS DE 2002-03. 2004-06, 2016-17 Y 2018-19  SON PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION            ;2009;793;660059;4304699;660059;4304699;-10917;385236;-10922;385229;0;739;8998;62;71;659949;4304491;7E11
8004;AMADORIO;1;ENTRADAS EN REVISION. DATOS 2018-19 PROVISIONALES SUJETOS A REVISION                                                    ;3139;847;738513;4268781;738513;4268781;-1549;383205;-1554;383201;0;127;8017;63;64;738403;4268573;8E01
8005;ARENOS;1;ENTRADAS EN REVISION. DATOS 2018-19 PROVISIONALES SUJETOS A REVISION                                                    ;12079;614;709064;4440386;709064;4440386;-3253;400513;-3257;400510;0;600;8184;39;39;708954;4440177;2E02
8006;ARQUILLO DE SAN BLAS;1;ENTRADAS EN REVISION. DATOS 2013-14 Y 2018-19 PROVISIONALES SUJETOS A REVISION                                          ;44216;566;652520;4469922;652520;4469922;-11213;402155;-11218;402151;977;974.2;8134;54;54;652411;4469713;3E01
8007;BENIARRES;1;LOS DATOS DE 2008-09, 2009-10, 2016-17 Y 2018-19 ESTAN PENDIENTES DE REVISION. ENTRADAS EN REVISION                     ;3028;821;729642;4299767;729642;4299767;-2119;384858;-2123;384854;0;318;8029;63;64;729532;4299559;9E01
8008;BUSEO;1;DATOS 2003-05, 2008-09, 2012-13, 2016-17 Y 2018-19 PROVISIONALES. ENTRADAS EN REVISION. RESERVA 17-01-2015 EN REVISION  ;46234;694;677030;4385102;677030;4385102;5618;393551;-5622;393544;0;478;8157;63;77;676920;4384893;6E03
8009;CONTRERAS;1;ENTRADAS EN REVISION                                                                                                    ;46259;693;628756;4378377;628756;4378377;-13006;393241;-13010;393237;673;669;8089;48;48;628646;4378169;5E01
8012;EMBARCADEROS;0;INT 1988                                                                                                                ;46097;745;669713;4345601;669713;4345601;-10200;391435;-10205;391429;325.5;321;8098;19;19;669603;4345393;
8013;FORATA;1;LOS DATOS DE 2003-04, 2004-05 Y 2018-19 SON PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION                      ;46261;720;684105;4356997;684105;4356997;-5149;392032;-5154;392027;384;384;8123;53;53;683995;4356788;7E03
8014;BENAGEBER;1;ENTRADAS EN REVISION. DATOS DE 2018-19 SON PROVISIONALES SUJETOS A REVISION                                             ;46050;666;663043;4399340;663043;4399341;-10551;394340;-10556;394335;0;527.2;8152;63;77;662933;4399132;6E01
8015;GUADALEST;1;LOS DATOS DE 2003-04, 2005-06 Y 2018-19 SON PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION                      ;3075;821;744383;4285194;744383;4285194;-1127;384052;-1131;384047;0;380;8020;54;54;744273;4284986;8E02
8016;LORIGUILLA;1;ENTRADAS EN REVISION. DATOS DE 2018-19 SON PROVISIONALES SUJETOS A REVISION                                             ;46148;694;679107;4392916;679107;4392916;-5443;393960;-5448;393956;0;320;8156;52;52;678997;4392707;6E02
8017;MARIA CRISTINA;1;DATOS DE 2002-03 A 2004-05, 2008-09, 2009-10, 2013-14 Y 2018-19 PENDIENTES DE REVISION. ENTRADAS EN REVISION            ;12005;616;742103;4434950;742103;4434950;-946;400146;-951;400142;318.2;134.3;8201;62;77;741993;4434741;1E06
8018;ONDA;1;DATOS DE 2004-05, 2009-10, 2013-14 Y 2018-19 PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION                     ;12006;640;728120;4424335;728120;4424335;-1949;395616;-1953;395612;307.7;306;8172;63;67;728010;4424126;1E04
8019;REGAJO;1;ENTRADAS EN REVISION. DATOS DE 2018-19 SON PROVISIONALES SUJETOS A REVISION                                             ;12071;639;711716;4418624;711716;4418624;3126;395329;-3130;395322;0;405;8168;62;62;711606;4418415;0E01
8021;SICHAR;1;DATOS DE 2002-03, 2013-14 Y 2018-19 PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION                              ;12084;615;736423;4432764;736423;4432764;-1348;400041;-1353;400036;0;164;8194;62;62;736313;4432555;1E05
8023;TOBA, LA;1;LOS DATOS DE 2002-03 A 2005-06, 2008-09  Y 2015-16 ESTAN PENDIENTES DE REVISION                                         ;16245;587;591836;4451861;591836;4451861;-15515;401241;-15519;401237;0;1156.3;8036;63;77;591727;4451652;4E01
8025;ULLDECONA;1;DATOS DE 2004-05, 2005-06, 2009-10, 2013-14, 2014-15 Y 2016-17 PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION   ;12093;521;266322;4506079;773434;4507449;1406;404021;1401;404015;0;477.1;8218;62;62;773325;4507239;1E01
8026;MOLINAR, EL;1;DATOS DE 2004-05, 2008-09, 2010-11, 2013-14, 2014-15 Y 2016-17 PENDIENTES DE REVISION                                   ;2077;744;651898;4341527;651898;4341527;-11427;391233;-11431;391228;478;476;8066;32;32;651788;4341319;7E01
8027;CORTES 2;1;LOS DATOS DE 2002-03 A 2004-05, 2007-08, 2009-10, 2010-11, 2014-15 Y 2016-17 SON PROVISIONALES SUJETOS A REVISION       ;46099;745;679692;4348083;679692;4348084;-5502;391546;-5507;391542;329;326;8098;32;32;679582;4347875;7E12
8028;MUELA, LA (BOMBEO);1;DATOS DE 2002-03, 2005-06, 2007-08, 2008-09, 2010-11, 2013-14, 2014-15, 2015-16 Y 2016-17 PENDIENTES DE REVISION        ;46099;745;678915;4345465;678915;4345465;5537;391424;-5541;391418;0;832;8098;32;32;678805;4345257;7E13
8029;NARANJERO, EL;1;DATOS DE 2002-03, 2004-06, 2007-08, 2012-13, 2015-17 Y 2018-19 SUJETOS A REVISION                                       ;46099;746;685402;4350000;685402;4350000;5102;391646;-5106;391640;243;240;8098;32;32;685292;4349791;7E02
8030;TOUS;1;ENTRADAS EN REVISION. DATOS DE 2018-19 SON PROVISIONALES SUJETOS A REVISION                                             ;46246;769;703168;4334364;703168;4334364;3858;390805;-3902;390759;145;130;8104;27;28;703058;4334156;7E04
8031;ESCALONA;1;HASTA EL AÑO 2011/12 EL CODIGO ERA 8037. DATOS DE 2004-05 Y 2008-09 PENDIENTES DE REVISION. ENTRADAS EN REVISION        ;46179;769;699042;4333787;699042;4333787;-4151;390748;-4155;390743;190.9;143;8103;24;25;698932;4333579;7E09
8032;BELLUS;1;HASTA AÑO 11/12 EL CODIGO ERA 8036. DATOS DE 2002-03 A 2004-05, 2008-09, 2009-10 Y 2011-12 Y ENTRADAS EN REVISION       ;46049;795;718691;4313299;718691;4313299;2836;385629;-2841;385622;160.1;155;8109;24;25;718581;4313091;7E10
8033;ALGAR;1;HASTA EL AÑO 2011/12 EL CODIGO ERA 8057. LOS DATOS DE 2004-05 Y 2013-14 SUJETOS A REVISION. ENTRADAS EN REVISION        ;46028;668;724759;4407728;724759;4407728;-2231;394721;-2235;394717;;207;8168;16;16;724649;4407519;0E04
8034;BALAGUERAS;1;DATOS DE 2013-14 PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION                                                 ;44201;591;697676;4454062;697676;4454062;-4038;401247;-4042;401243;1017;1015.2;8181;8;8;697566;4453853;
8035;VALBONA;1;RESERVA 30-06-2015 EN REVISION                                                                                          ;44240;591;685795;4458357;685795;4458357;-4856;401516;-4900;401512;979.8;978.5;8995;8;8;685686;4458148;
8036;MORA DE RUBIELOS;1;DATOS DE 2013-14 PROVISIONALES SUJETOS A REVISION. ENTRADAS EN REVISION                                                 ;44158;591;691966;4461493;691966;4461493;-4436;401648;-4436;401648;;;8179;8;8;691857;4461284;
8931;TIBI;0;INT 1970                                                                                                                ;3129;846;713064;4264406;713064;4264406;3324;383009;-3328;383003;0;403;8011;3;3;712954;4264198;
8932;RELLEU;0;INT 1970                                                                                                                ;3112;847;736356;4271997;736356;4271997;1714;383354;-1719;383348;0;251;8015;3;3;736246;4271789;
8933;ELCHE;0;INT 1970                                                                                                                ;3065;893;699361;4242569;699361;4242569;4311;381833;-4316;381826;0;152;8005;3;3;699251;4242361;
8934;ELDA;0;INT 1970                                                                                                                ;3066;871;692497;4263431;692497;4263431;-4734;382952;-4738;382948;0;426;8003;3;3;692387;4263223;
