indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
1751;SEQUEIROS                          ;INT 1993                                                              ;0;6243;7983;189;235;2188;42;42;0;1454;27052;643825;4702264;150450;4709543;-71503;422731;-71508;422727;;;;;;150339;4709337;
1753;PARADA                             ;;1;369;370;189;242;;14;13;0;1457;27050;636012;4702606;142670;4710438;-72045;422747;-72050;422743;LOS DATOS DE 2007-08 Y 2008-09 SON PROVISIONALES PENDIENTES DE REVISION                             ;;;;;142559;4710232;A031
1754;PONTE, LA                          ;INT 2008                                                              ;0;337;370;156;290;1643;49;49;0;1457;27047;636330;4707985;143369;4715788;-72026;423041;-72031;423037;;;;;;143258;4715582;
1763;INCIO (PUENTE DE PENA)             ;;1;35;736;156;538;;14;14;1;1463;27024;635556;4722912;143655;4730753;-72047;423846;-72053;423841;LOS DATOS DE 2007-08 Y 2008-09 SON PROVISIONALES PENDIENTES DE REVISION                             ;;;;;143544;4730547;A032
1765;RIVAS ALTAS                        ;;1;353;734;156;305;1186;95;101;31;1465;27031;625038;4712750;132427;4721349;-72837;423323;-72842;423318;PROVISIONALES 2008-09. DATOS MODIFICADOS 43-45,47-49,50-51,54-56,57-59,60-61(ANUARIO13-14)          ;;;;;132316;4721143;A033
1768;SAN ESTEBAN                        ;INT 1993                                                              ;0;7216;7983;188;125;2188;44;44;3;1462;27059;611055;4696975;117340;4706579;-73901;422459;-73906;422455;DATOS MODIFICADOS 1950-51 y 1963-64 (ANUARIO 13-14)                                                 ;;;;;117229;4706372;
1769;SAN PEDRO                          ;INT 1993                                                              ;0;7982;7983;188;120;2188;72;81;1;1466;32052;605774;4700010;112278;4709985;-74250;422640;-74255;422636;DATOS MODIFICADOS 1913-16,1917-20,1921-22,1926-27,1942-50,1951-55,1956-59,1960-61 (ANUARIO 13-14)   ;;;;;112167;4709778;
1805;PUENTE LINARES                     ;;1;684;2387;263;601;1397;40;39;1;1511;32006;592556;4652929;95749;4663869;-75255;420120;-75301;420116;LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;95637;4663662;A046
1806;PUENTEAREAS (NIVEL)                ;;1;58;58;262;39;;13;13;0;1499;36042;541078;4667856;45335;4682415;-83010;420940;-83015;420935;LOS DATOS DE 2008-09 Y 2009-10 SON PROVISIONALES PENDIENTES DE REVISION                             ;;;;;45223;4682208;N017
1809;BUBACES                            ;;1;36;56;301;388;;13;13;0;1922;32042;574265;4635361;76233;4647592;-80619;415157;-80624;415153;LOS DATOS DE 2009-10 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;76121;4647385;N019
1821;REGUEIRO                           ;;1;25;25;262;53;;10;9;0;1492;32056;566382;4667402;70604;4680177;-81148;420919;-81153;420914;ESTACION AFECTADA POR EMBALSE DE FRIEIRA. DATOS  2016-17 SON PROVISIONALES                          ;;;;;70492;4679970;N021
1822;REDEMUIÑOS                         ;;1;91;139;48;429;;10;10;0;1377;27001;622117;4795939;135451;4804655;-72940;431820;-72945;431816;;;;;;135340;4804450;N022
1823;BOUZA DO VISO                      ;;1;400;411;262;15;;10;10;0;1500;36050;540906;4661676;44727;4676247;-83019;420619;-83024;420615;;;;;;44615;4676040;N023
1824;GUNTIN                             ;;1;166;268;97;409;;10;10;0;1403;27023;605827;4749027;115816;4758958;-74215;425309;-74220;425305;;;;;;115705;4758752;N024
1825;GOYAN                              ;;1;16519;17026;299;4;;6;6;0;1503;36054;519966;4642670;22454;4658712;-84533;415606;-84538;415602;;;;;;22342;4658504;N025
1826;TUY                                ;;1;16269;17026;261;10;;6;6;0;1503;36055;529702;4655041;33048;4670389;-83828;420246;-83833;420242;;;;;;32936;4670182;N026
1827;RIBADAVIA                          ;;1;672;672;225;72;;6;6;0;1480;32069;570907;4681985;76154;4694436;-80824;421710;-80829;421706;;;;;;76042;4694229;N027
1828;PEROJA, LA                         ;;1;12685;17026;188;116;;6;6;0;1467;32052;604093;4700848;110667;4710933;-74403;422708;-74408;422704;;;;;;110556;4710726;N028
1829;PUENTE FREIJO                      ;;1;533;746;225;316;;10;10;0;1484;32020;585153;4672847;89751;4684297;-75807;421209;-75812;421204;;;;;;89640;4684090;N029
1830;BAÑOS DE MOLGAS                    ;;1;264;746;226;503;;6;6;0;1482;32007;609459;4677636;114381;4687377;-74024;421433;-74029;421429;;;;;;114270;4687170;N030
1831;GINZO DE LIMIA                     ;;1;293;2387;264;620;;10;10;0;1509;32032;604690;4657503;108196;4667587;-74405;420343;-74410;420339;;;;;;108085;4667380;N031
1832;NEIRA DE REY                       ;;1;115;831;98;535;;10;9;0;1393;27901;646079;4753659;156354;4760711;-71237;425515;-71242;425511;;;;;;156243;4760505;N032
1833;FRAGA                              ;;1;97;145;47;415;;10;10;0;1384;27065;602687;4791579;115052;4801736;-74435;431609;-74410;431605;;;;;;114940;4801530;N033
1834;INSUA                              ;;1;82;887;47;412;;10;10;0;1383;27065;606553;4793687;119742;4803526;-74112;431716;-74117;431712;;;;;;119630;4803320;N034
1835;REGADAS, LAS                       ;;1;91;1184;262;48;;6;6;0;1494;36001;558324;4663547;62278;4676885;-81740;420716;-81745;420712;;;;;;62166;4676678;N035
1836;ALMAGARINOS                        ;;1;40;266;127;920;;10;10;0;1418;24083;727849;4732309;236454;4733578;-61305;424231;-61310;424227;LOS DATOS DE 2016-17 SON PROVISIONALES PENDIENTES DE REVISION                                       ;;;;;236344;4733372;N036
1837;MATARROSA DEL SIL                  ;;1;642;7983;126;697;;10;10;0;1414;24169;702277;4737173;211283;4740249;-63141;424535;-63146;424531;;;;;;211173;4740043;N037
1903;MOLINASECA                         ;INT 1961                                                              ;0;123;125;158;30;;4;4;0;1420;24100;701820;4713996;209182;4717150;-63231;423304;-63236;423300;;;;;;209072;4716944;
1904;CACABELOS                          ;INT 1963                                                              ;0;533;1200;158;472;;6;6;0;1425;24030;686437;4719067;194187;4723302;-64339;423603;-64344;423559;;;;;;194076;4723096;
1906;QUERENO                            ;INT 1959                                                              ;0;3407;7983;191;472;;1;1;0;1432;24122;679831;4699919;186237;4704655;-64850;422548;-64855;422544;;;;;;186126;4704449;
1907;FRIEIRA                            ;INT 1963                                                              ;0;176;190;158;472;;2;2;0;1431;24059;676471;4711264;183685;4716219;-65105;423158;-65110;423154;;;;;;183574;4716013;
1908;POMBRIEGO                          ;INT 1962                                                              ;0;494;561;191;495;;4;4;0;1433;24016;689355;4699357;195705;4703421;-64154;422522;-64200;422518;;;;;;195594;4703215;
1909;LOVIOS (BUSCALQUE)                 ;INT 1978. HASTA EL AÑO 1978 EL INDICATIVO ERA 1809                    ;0;1302;2387;301;250;1397;5;5;0;1513;32042;569190;4637022;71276;4649608;-80958;415253;-81003;415249;;;;;;71164;4649401;
1910;VILLABLINO                         ;INT 1959                                                              ;0;218;7983;101;1000;;1;1;0;1412;24202;717920;4756519;228271;4758440;-61947;425546;-61952;425542;;;;;;228161;4758234;
1911;PALACIOS                           ;INT 1959                                                              ;0;433;7983;101;856;;1;1;0;1414;24109;708505;4749470;218358;4752101;-62651;425207;-62656;425203;;;;;;218248;4751895;
1928;PUENTE BELESAR                     ;INT 1924. HASTA EL AÑO 1924 EL INDICATIVO ERA 1628                    ;0;4369;17026;155;232;;10;10;0;1408;27058;605575;4718898;113419;4728872;-74246;423652;-74251;423648;DATOS MODIFICADOS DE 1917-18 A 1919-20, 1922-23 Y 1923-24 (ANUARIO 13-14)                           ;;;;;113308;4728666;
1931;ORENSE                             ;INT 1970. HASTA EL AÑO 1970 EL INDICATIVO ERA 1631                    ;0;12810;17026;187;95;2188;49;59;0;1471;32054;594699;4690345;100527;4701111;-75100;422132;-75106;422128;;;;;;100416;4700904;
1942;SANTA EULALIA                      ;INT 1993. HASTA EL AÑO 1993 EL INDICATIVO ERA 1742                    ;0;326;329;190;382;2124;41;41;3;1450;32060;654441;4689313;160136;4695859;-70731;422024;-70736;422020;;;;;;160025;4695652;
