basin,KGE
1103,0.7655705317437451
1105,0.8165403928089199
1109,0.8349389701588819
1163,0.8043935632775231
1265,0.6198222634660961
1268,0.32150976519054575
1295,0.5930758019473861
1302,0.6731449294327456
1353,0.7175886840223421
1363,0.5321579545169497
1365,0.4713493610314059
1369,0.6172522278935832
1395,0.5518889973427178
1404,0.6485001605823815
1414,0.7820836315647063
1433,0.8392813705014408
1441,0.5973707360331861
1485,0.873725457106084
1522,0.9401398023705552
1540,0.7575495379902927
1542,0.6311650784637683
1546,0.8373279211324098
1552,0.8792683293935376
1578,0.7274549283223344
1619,0.8161971704085488
1620,0.7116361695379464
1622,0.8046394514924066
1624,0.9181383603556899
1647,0.5371042426335109
1659,0.7418335957780586
1715,0.5235244166296267
1721,0.8036735609132474
1725,0.8158071223961794
1728,0.7664644734392735
1734,0.8389802420632382
1753,0.7859414561534365
1765,0.8807376939364652
1823,0.5535868023207957
2000,0.5988854995815187
2005,0.6312308697860605
2012,0.547678851370571
2015,0.5865370754163927
2016,0.47785273663318306
2017,0.5614041454319905
2028,0.5557561914608735
2029,0.5748985570338532
2030,0.7969688159171474
2036,0.5951692813493314
2047,0.2251860918340184
2049,0.42322266624004357
2050,0.5176134166946762
2055,0.6768603257426662
2056,0.4088590851927242
2057,0.4375537650622986
2061,0.8476991037380199
2062,0.4670144131521963
2074,0.8332521953389395
2095,0.6353445022651067
2098,0.6083248783961387
2104,0.6923895015679578
2105,0.3182276767911041
2113,0.6584014895021133
2115,0.7848650117691041
2121,0.45023450224987294
2131,0.5673589612124454
2132,0.6405530861899877
2138,0.7186075520932889
2139,0.5180242293329764
2141,0.6543299597388927
2143,0.3587280792779932
2144,0.411497466993642
2145,0.7838044148528875
2150,0.5311418556477554
2163,0.47022212590747514
2711,0.5896511883938047
2712,0.1509793185337771
2714,0.528500486281899
2716,-0.15853080834827105
2818,0.5568568836140362
3005,0.6569270278496379
3012,0.3417780366694255
3014,0.4031244496048433
3030,0.43566043467811033
3040,0.6115964377348151
3049,0.49078327524854404
3051,0.19513608102677205
3052,0.5155297384506291
3103,0.12110392019546734
3144,0.8061213174695598
3146,0.6924794055619243
3165,0.5341786158822548
3174,0.46905407149487943
3182,0.5477551308683482
3184,0.41674367048404015
3186,-1.029362486699077
3193,-0.4795445141762251
3200,0.6143772801759888
3211,-0.06935924231833646
3212,0.22203379116264244
3221,0.6606003665200723
3231,0.5739411309799491
3235,0.5589436255171718
3246,0.05446792944948575
3250,-0.2609819744188324
3253,-0.06901307415326063
3256,0.25110893330744044
3261,0.28240348582092367
3268,0.6726638086160528
3269,-0.10742776360333228
4255,0.33948243709752257
5045,0.08017845550025215
5050,0.10424899272747612
5107,-2.833975538416678
5140,-9.531875132873687
5141,0.12598645577959533
5145,0.2937037939242916
7121,-1.2490230466900982
8028,0.26346006941163336
8060,-2.5307607004417436
8087,0.32015984159371746
8091,0.38207004367635
8103,0.22398964136121868
8118,-0.6446200803495874
8120,0.3710582848409347
8126,0.5715854654883985
8134,0.6078024404905966
8149,0.49736913028080765
9004,0.7913673100328891
9011,0.6142062513897806
9023,0.8032410360042677
9030,0.30686413235910126
9033,0.7303542413107558
9040,0.8647977060447982
9044,0.5906167698920374
9051,0.4698674363495132
9063,0.7598138426562
9064,0.7265730080807236
9067,0.7310643482925305
9068,0.768624353505767
9070,0.7510704536395163
9071,0.7617095555710169
9073,0.22673212842089274
9075,0.7859107537183172
9079,0.6769710972367637
9089,0.5903971753951014
9092,0.7711053518435735
9093,0.4341975844566822
9095,0.5837440070561177
9139,0.26545863355804444
9158,0.6578149752694991
9165,0.6922830651218759
9170,0.6564030858594461
9177,0.08943543031381251
9184,-0.157057281415939
9188,0.7170492964701587
9197,0.5373536364560844
9215,0.20922343703163238
9252,0.6865035380990329
9256,0.6437743329668151
9270,0.6725370527218679
9279,0.582114034663872
9284,0.8671324973354578
9291,0.03742394474352473
9317,0.6284539403678904
9321,0.5824414972932541
9324,0.7489348302891746
