gauge_id,pr_emo1_01,pr_emo1_02,pr_emo1_03,pr_emo1_04,pr_emo1_05,pr_emo1_06,pr_emo1_07,pr_emo1_08,pr_emo1_09,pr_emo1_10,pr_emo1_11,pr_emo1_12,pr_emo1_year,ta_emo1_01,ta_emo1_02,ta_emo1_03,ta_emo1_04,ta_emo1_05,ta_emo1_06,ta_emo1_07,ta_emo1_08,ta_emo1_09,ta_emo1_10,ta_emo1_11,ta_emo1_12,ta_emo1_year,e0_emo1_01,e0_emo1_02,e0_emo1_03,e0_emo1_04,e0_emo1_05,e0_emo1_06,e0_emo1_07,e0_emo1_08,e0_emo1_09,e0_emo1_10,e0_emo1_11,e0_emo1_12,e0_emo1_year,dis_efas5_yrmean,dis_efas5_yrmax,dis_efas5_yrmin
9263,1.4882869855394885,1.3109146341463416,1.4591212458286986,1.8306666666666664,1.7607452725250279,1.4440229885057472,0.8994104560622914,0.8253837597330367,1.271380897583429,1.7347497219132368,2.030597701149425,1.4900444938820911,1.4612622734138974,4.581101223581757,5.403548780487805,8.0334149054505,10.273172413793104,13.945928809788654,18.022954022988504,20.638275862068962,20.78992213570634,17.110771001150745,13.207942157953282,7.9368620689655165,5.151212458286986,12.127033610271905,0.43987764182424915,0.7830975609756098,1.7841045606229142,2.8077816091954024,3.9307897664071185,5.136977011494253,5.705939933259177,4.837352614015573,2.9475719217491365,1.338754171301446,0.5318620689655172,0.38250278086763073,2.5620477719033232,0.39106028850587654,2.4410000000000003,0.05633333333333336
2121,1.492313681868743,1.0846951219512195,1.1849610678531701,1.6768505747126439,1.7230812013348167,1.1908965517241379,0.6905116796440489,0.61559510567297,0.9609781357882623,1.9721134593993326,1.8343563218390804,1.5522914349276977,1.3325075528700905,3.6399999999999997,4.720792682926829,7.376518353726363,9.459988505747125,13.099543937708566,17.528149425287356,20.374015572858735,20.323748609566188,16.54769850402762,12.252958843159066,7.048172413793103,4.386106785317018,11.432094033232628,0.3902002224694105,0.7929146341463416,1.8942157953281424,2.9557126436781607,4.129054505005562,5.571620689655171,6.354160177975529,5.430456062291435,3.2966168009205985,1.436551724137931,0.5232068965517241,0.36579532814238047,2.7727822885196374,0.16759135507412273,1.0016666666666665,0.014666666666666673
2062,1.5103670745272526,1.1121951219512196,1.20972191323693,1.70116091954023,1.7581757508342601,1.2169655172413794,0.7025250278086762,0.6302002224694105,0.9782163406214038,1.9802669632925476,1.8677126436781608,1.5644160177975526,1.3535215256797584,3.5814349276974418,4.613865853658536,7.256796440489433,9.337747126436781,12.972447163515016,17.404850574712643,20.262024471635147,20.224460511679645,16.43433831990794,12.15567296996663,6.961620689655173,4.336040044493882,11.33087990936556,0.3952280311457175,0.7935975609756097,1.8853837597330367,2.9341724137931036,4.095194660734149,5.526793103448276,6.308498331479422,5.398998887652948,3.2739125431530494,1.4343159065628475,0.5262528735632185,0.37140155728587315,2.7563151435045317,0.17676765420670254,1.0183333333333333,0.015666666666666672
9011,1.5456062291434927,1.3839024390243904,1.4950500556173525,1.8411264367816094,1.7694549499443826,1.4777931034482759,0.9220912124582871,0.8239488320355951,1.253970080552359,1.7301112347052279,2.094551724137931,1.5513348164627365,1.489635574018127,4.466818687430479,5.251926829268292,7.8541490545050054,10.05928735632184,13.694705228031147,17.735954022988505,20.352202447163513,20.528998887652946,16.895569620253166,13.023303670745273,7.79671264367816,5.0392324805339275,11.927146903323262,0.4189432703003337,0.7540121951219513,1.743170189098999,2.7484597701149425,3.851679644048943,5.034954022988505,5.606562847608454,4.768720800889877,2.8968009205983893,1.311512791991101,0.5102413793103447,0.36640711902113465,2.510698640483384,0.4054508433947134,2.7406666666666655,0.05200000000000003
2054,1.5489432703003336,1.157219512195122,1.2517686318131256,1.744896551724138,1.8127030033370413,1.2588390804597702,0.7356729699666295,0.6577419354838709,0.9994936708860759,2.0096218020022247,1.9268505747126439,1.6083982202447162,1.3934884818731117,3.46483870967742,4.445243902439024,7.078487208008899,9.143494252873563,12.757474972191325,17.179494252873564,20.0522914349277,20.031679644048943,16.24402761795167,11.985761957730812,6.8182643678160915,4.224749721913237,11.154664841389728,0.39568409343715244,0.7867926829268292,1.8682536151279199,2.9038850574712645,4.0481312569521695,5.465034482758621,6.250923248053392,5.35222469410456,3.2471461449942463,1.4203670745272523,0.5233333333333333,0.3723025583982203,2.730418240181269,0.19849175516993314,1.1126666666666665,0.02300000000000001
3012,1.2626028921023358,1.1538536585365853,1.2561401557285874,1.7274252873563216,1.6120022246941046,0.9373218390804599,0.38750834260289213,0.45961067853170195,0.9423014959723821,1.9494883203559512,1.7278275862068966,1.4085761957730811,1.2349471299093655,4.627274749721913,5.745658536585366,8.58375973303671,10.900712643678162,14.894449388209122,19.915666666666663,23.229855394883202,23.0046829810901,18.516582278481014,13.646162402669635,8.087781609195401,5.271167964404894,13.074710158610273,0.4431924360400445,0.9262317073170732,2.088642936596218,3.2307126436781606,4.491924360400445,6.101252873563219,6.969254727474973,5.981657397107898,3.613325661680092,1.613893214682981,0.586448275862069,0.39005561735261407,3.048271336858006,0.1708051974461222,1.0426666666666666,0.0736666666666667
9284,2.0124026696329254,1.8284878048780489,1.8521802002224697,2.09683908045977,1.9454393770856508,1.669954022988506,1.0746384872080088,0.9171635150166851,1.402715765247411,2.013515016685206,2.6526436781609197,2.0264516129032257,1.7889916918429003,4.308787541713015,4.932682926829268,7.441612903225806,9.521850574712646,12.977652947719688,16.80029885057471,19.250622914349275,19.56132369299221,16.222750287686996,12.578342602892103,7.525597701149426,4.880456062291436,11.367808723564956,0.3683537263626251,0.6577682926829268,1.5831256952169077,2.527689655172414,3.578642936596218,4.65171264367816,5.109710789766406,4.379199110122358,2.67132336018412,1.1972747497219132,0.44852873563218393,0.32318131256952165,2.3004201283987915,6.025685997573124,43.40966666666666,0.7326666666666667
9002,2.0229254727474975,1.8386219512195123,1.8598998887652949,2.1037356321839082,1.9516017797552836,1.6755402298850575,1.0785094549499443,0.9195216907675194,1.4062255466052935,2.020111234705228,2.6654597701149427,2.036874304783092,1.796186744712991,4.287052280311457,4.906341463414634,7.412146829810902,9.489793103448276,12.941890989988877,16.761850574712643,19.211078976640714,19.524783092324803,16.190023014959724,12.550244716351504,7.500563218390805,4.860622914349277,11.33733006042296,0.3654616240266963,0.6538292682926831,1.5773748609566185,2.5197241379310347,3.5682202447163514,4.637896551724138,5.094460511679644,4.366796440489432,2.6636593785960874,1.1921579532814237,0.44474712643678155,0.3206006674082314,2.2927681268882174,0.6086502982017471,4.379333333333333,0.08499999999999999
3014,1.265995550611791,1.1521463414634145,1.2527252502780866,1.7314022988505748,1.632925472747497,0.9717241379310346,0.4159065628476084,0.4811790878754172,0.9673762945914844,1.9380422691879866,1.7327471264367815,1.3931479421579533,1.2441625755287007,4.415773081201335,5.490109756097562,8.309566184649611,10.619287356321838,14.58758620689655,19.565252873563214,22.842024471635153,22.62907675194661,18.16489067894131,13.360489432703003,7.839103448275862,5.06979977753059,12.780345543806645,0.42941045606229145,0.9002073170731708,2.0474860956618466,3.1782413793103443,4.423904338153504,6.002827586206896,6.865962180200222,5.88313681868743,3.5468699654775606,1.5755728587319244,0.566712643678161,0.3790545050055617,2.9950377643504535,0.18620009188595668,1.106,0.08433333333333334
2095,2.0030812013348163,1.493829268292683,1.49035595105673,1.8828620689655173,1.880956618464961,1.2161379310344826,0.6870189098998888,0.7249499443826474,1.1891714614499427,2.415761957730812,2.2361034482758626,2.227563959955506,1.6215219033232628,2.8806674082313686,4.086146341463414,6.664938820912125,8.584689655172415,11.939443826473859,16.03341379310345,18.486551724137932,18.38859844271413,15.236260069044878,11.176974416017798,6.262367816091954,3.6097330367074534,10.311181080060424,0.29873192436040047,0.6656463414634147,1.7143604004449389,2.7732298850574715,3.8619577308120134,5.120448275862069,5.700934371523915,4.8189543937708565,2.985005753739931,1.2104449388209122,0.40586206896551724,0.28025583982202446,2.4961848564954683,0.6493028281348631,6.224,0.11766666666666674
