indroea;lugar;comentario;serv;suprest;suprcnc;hoja_id;alti;altimax;naa;naam;naai;num_cuenca;muni_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;observ1;observ2;observ3;observ4;observ5;xetrs89;yetrs89;cod_saih
2000;VINUESA                            ;;1;126;157;317;1090;1880;59;59;25;2004;42215;520210;4640160;520210;4640160;-24523;415445;-24527;415441;;;;;;520102;4639952;
2001;SALIDA EMBALSE DE CUERDA DEL POZO  ;;1;580;97620;317;1049;2315;29;29;17;2001;42160;525568;4636302;525568;4636302;-24131;415239;-24135;415235;;;;;;525460;4636094;
2002;GARRAY-SORIA                       ;;1;1500;97620;350;1007;2315;97;107;48;2021;42094;545390;4627600;545390;4627600;-22713;414754;-22718;414750;;;;;;545282;4627392;
2003;QUINTANATELLO DE OJEDA             ;INT 1995                                                              ;0;56;276;133;934;1807;56;61;16;2139;34114;381610;4732185;381610;4732185;-42646;424356;-42651;424352;;;;;;381502;4731978;
2004;GORMAZ                             ;;1;5055;97620;405;880;2315;82;91;58;2045;42097;499230;4592975;499230;4592975;-30033;412916;-30038;412911;;;;;;499122;4592767;
2005;OSMA                               ;;1;900;1035;377;890;1335;74;74;43;2060;42043;493125;4602860;493125;4602860;-30457;413436;-30502;413432;;;;;;493016;4602652;
2006;HOYOS DEL ESPINO                   ;;1;88;7257;555;1377;2592;95;105;44;2324;5105;314785;4468115;314785;4468115;-51050;402032;-51055;402028;;;;;;314676;4467908;
2007;SAN ESTEBAN DE GORMAZ              ;INT 1991                                                              ;0;6494;97620;376;850;2315;61;71;35;2063;42162;482385;4602845;482385;4602845;-31241;413435;-31246;413431;;;;;;482277;4602636;
2008;PISCARDANOS                        ;INT 1987                                                              ;0;26;804;166;930;1334;32;32;19;2153;9175;409781;4724255;409781;4724255;-40603;423953;-40608;423949;;;;;;409673;4724048;
2009;RIAZA                              ;;1;36;1082;432;1139;2036;96;106;60;2088;40170;460580;4570580;460580;4570580;-32815;411706;-32819;411702;;;;;;460472;4570372;
