basin,train,validation,test
1105,0.862,,
1106,0.883,,
1109,0.870,,
1295,0.864,,
1343,0.681,,
1363,0.800,,
1369,0.899,,
1378,0.892,,
1395,0.734,,
1414,0.879,,
1427,0.795,,
1431,0.872,,
1441,0.876,,
1443,0.894,,
1485,0.870,,
1520,0.895,,
1522,0.888,,
1552,0.860,,
1585,0.637,,
1605,0.877,,
1619,0.862,,
1620,0.822,,
1624,0.952,,
1638,0.939,,
1659,0.906,,
1715,0.872,,
1721,0.789,,
1723,0.944,,
1725,0.812,,
1726,0.969,,
1728,0.921,,
1729,0.842,,
1734,0.883,,
1753,0.883,,
1823,0.727,,
1824,0.849,,
1829,0.918,,
2005,0.867,,
2012,0.826,,
2016,0.823,,
2025,0.793,,
2028,0.864,,
2029,0.855,,
2031,0.831,,
2036,0.860,,
2041,0.844,,
2046,0.850,,
2047,0.725,,
2050,0.771,,
2055,0.767,,
2056,0.836,,
2057,0.824,,
2074,0.882,,
2081,0.883,,
2082,0.923,,
2089,0.931,,
2098,0.868,,
2101,0.906,,
2104,0.872,,
2113,0.881,,
2114,0.338,,
2115,0.833,,
2116,0.856,,
2121,0.835,,
2125,0.702,,
2126,0.518,,
2131,0.846,,
2132,0.880,,
2139,0.798,,
2141,0.874,,
2143,0.809,,
2147,0.850,,
2711,0.843,,
2712,0.668,,
2713,0.897,,
2717,0.846,,
3001,0.848,,
3012,0.762,,
3030,0.699,,
3040,0.812,,
3045,0.839,,
3100,0.763,,
3161,0.671,,
3163,0.831,,
3165,0.863,,
3169,0.310,,
3175,0.640,,
3180,0.830,,
3186,0.364,,
3193,0.465,,
3198,0.608,,
3200,0.767,,
3213,0.637,,
3217,0.690,,
3218,0.817,,
3220,0.605,,
3221,0.801,,
3222,0.784,,
3234,0.866,,
3235,0.721,,
3242,0.917,,
3244,0.728,,
3246,0.264,,
3253,0.289,,
3268,0.837,,
3276,0.637,,
3279,0.552,,
8018,0.727,,
8028,0.587,,
8060,0.014,,
8087,0.691,,
8091,0.787,,
8104,0.827,,
8118,0.372,,
8120,0.573,,
8134,0.720,,
8149,0.762,,
9003,0.883,,
9020,0.744,,
9021,0.833,,
9030,0.696,,
9033,0.857,,
9040,0.845,,
9041,0.233,,
9061,0.770,,
9063,0.864,,
9064,0.852,,
9069,0.928,,
9073,0.774,,
9074,0.949,,
9075,0.903,,
9087,0.399,,
9089,0.771,,
9093,0.748,,
9095,0.735,,
9120,0.923,,
9139,0.827,,
9159,0.894,,
9165,0.928,,
9166,0.880,,
9170,0.774,,
9177,0.762,,
9184,0.502,,
9187,0.742,,
9188,0.818,,
9189,0.849,,
9197,0.848,,
9215,0.481,,
9252,0.900,,
9256,0.804,,
9261,0.894,,
9263,0.837,,
9265,0.733,,
9271,0.778,,
9279,0.834,,
9284,0.941,,
9291,0.609,,
9321,0.826,,
9323,0.959,,
9324,0.923,,
9327,0.718,,
1265,,-0.199,
1268,,0.584,
1365,,0.178,
1512,,0.105,
1540,,0.479,
1544,,0.793,
2000,,0.652,
2015,,0.858,
2017,,0.532,
2030,,0.749,
2048,,0.317,
2095,,0.671,
2138,,0.690,
2150,,0.392,
2163,,0.538,
2714,,0.784,
3005,,0.798,
3014,,0.732,
3049,,0.033,
3051,,-0.800,
3052,,-0.024,
3103,,0.422,
3168,,0.441,
3184,,0.581,
3212,,0.243,
3231,,0.649,
3233,,-14.491,
3250,,0.171,
3251,,-2.030,
3256,,0.588,
3261,,-0.133,
3278,,0.169,
8029,,0.079,
8090,,0.355,
8092,,-0.640,
8126,,0.665,
8140,,-2.171,
9011,,0.767,
9038,,0.550,
9051,,0.205,
9062,,0.786,
9068,,0.909,
9070,,0.587,
9071,,0.742,
9079,,0.755,
9092,,0.684,
9203,,0.308,
9254,,0.082,
9270,,0.532,
9281,,-0.633,
9282,,0.727,
9317,,0.384,
9322,,0.468,
1080,,,0.552
1103,,,0.634
1163,,,0.675
1302,,,0.859
1353,,,0.789
1404,,,0.656
1424,,,0.546
1433,,,0.447
1438,,,0.737
1464,,,0.841
1542,,,0.531
1546,,,0.885
1578,,,0.905
1622,,,0.640
1647,,,-0.008
1765,,,0.595
2013,,,0.608
2026,,,0.839
2043,,,0.838
2049,,,0.559
2053,,,0.819
2054,,,0.651
2060,,,0.653
2061,,,0.822
2062,,,0.811
2105,,,0.453
2144,,,0.275
2145,,,0.458
2156,,,0.466
2716,,,0.582
2818,,,0.615
3062,,,0.700
3144,,,0.385
3146,,,0.749
3174,,,0.668
3182,,,0.771
3211,,,0.495
3255,,,-2.782
3269,,,-0.833
8027,,,-0.083
8103,,,0.376
8148,,,-1.769
9002,,,0.717
9004,,,0.608
9023,,,0.765
9044,,,0.483
9067,,,0.858
9088,,,0.169
9158,,,0.669
9255,,,-0.708
9283,,,0.612
9287,,,0.190
9328,,,0.469
