basin,KGE
1105,0.2387274240222691
1106,0.4012294070398399
1109,0.14065347336222533
1295,0.19911835416471702
1343,0.11719590088109177
1363,0.3789429193490871
1369,0.28982329221123737
1378,0.2825549264531706
1395,0.045035676967753124
1414,0.22456368485566758
1427,0.28648896506200605
1431,0.1677398279506449
1441,0.2748373780458023
1443,0.31276993951906706
1485,0.6538627785668906
1520,0.5166476077796185
1522,0.5403031879300555
1546,0.5980029796419605
1552,0.41352716923586164
1585,0.10887726396409658
1605,0.6118964195785299
1619,0.3825347382796077
1620,0.5238420928973966
1624,0.5447483065729257
1638,0.6858807993449745
1659,0.5829953255636153
1715,0.1458940020853613
1721,0.2595974952932466
1723,0.32051468702988195
1725,0.21647897122633808
1726,0.6591223272166817
1728,0.5571800622806307
1729,0.08439709754649527
1734,0.6464843925354272
1753,0.21804250763546507
1823,0.185439006658358
1824,0.5771279655559906
2000,0.3595329785057636
2005,0.7301805859148296
2015,0.7670929821821375
2017,0.573215826400856
2025,0.6978941478704057
2028,0.329167366898624
2031,0.6213706119479764
2036,0.7258750752925404
2041,0.38674116549706705
2046,0.5032441576765445
2047,0.3842131749636263
2049,0.6873230395026089
2053,0.5265225787820706
2056,0.5487650120014711
2057,0.5081778218002164
2060,0.3592055190408734
2062,0.4914504523969231
2081,0.3637014428808738
2082,0.5319282293543857
2089,0.42586676549904834
2098,0.17088658451402905
2101,0.3109875557439047
2104,0.6137188041586976
2105,0.6721510475310135
2114,0.4042134169271864
2115,0.29955297410752624
2116,0.3693379992689513
2121,0.46173991827959726
2125,0.03953808491122268
2126,-0.1019462432274354
2131,0.3808859522393171
2132,0.7895822381213273
2139,0.6462380935846703
2141,0.3265979243660545
2143,0.5189143291645235
2144,-0.06937419483682761
2711,0.277943032437048
2712,0.2626442031425954
2713,0.26853207218867836
2716,-0.6854329671746875
2818,0.39088146839941484
3012,0.5532478406185133
3030,0.5719571331348807
3040,0.24603790020063654
3045,0.6010009407257113
3062,0.48004231470930203
3103,0.24282859125465872
3144,0.5954001758315801
3163,0.2493638547182797
3165,0.6553326251917213
3169,0.13294925718579798
3174,0.44289223850095605
3180,0.6736429036643536
3186,-0.7398172471255435
3193,0.3090523772306192
3198,0.3819882704204315
3200,0.29409046394988136
3213,0.6848216948847285
3217,0.07739764342455935
3218,0.21547555277929842
3220,0.16737015786662868
3221,0.47565070956054056
3222,0.1930537122399707
3235,0.09394688238115756
3242,0.17383995266330388
3244,0.525213976920984
3246,-0.0631948212447837
3250,0.4815422795007628
3261,0.4393167940498063
3279,-0.03854124080025345
5045,0.30984429486455745
5056,0.27340124897429496
5083,0.048789906627172086
5123,0.12039906321477845
5138,0.5183470202662162
5141,0.14714324227292508
5145,0.5868991185138819
8029,-0.13144926340208873
8060,-1.9108713015782008
8087,0.6000007294965047
8091,0.30071090518824983
8118,0.011308922110873199
8126,0.6871196256435381
9002,0.671541355754
9003,-0.07830643317917185
9011,0.4713409299416984
9020,0.21771895513006678
9023,0.40781680271587517
9030,0.4937398753722624
9040,0.3699008542419727
9044,0.4877503248269881
9051,0.25193697181150054
9063,0.4314363251832851
9068,0.3617807789970925
9069,0.5135863773615855
9070,0.2583858353793599
9073,0.3494264655909577
9075,0.027871865099019733
9088,0.03444759789765661
9089,0.295240308204322
9092,0.3780146109553547
9093,0.26389248694183853
9120,0.3896407654883226
9139,0.7043406932730525
9159,0.4259250261301577
9165,0.08347372615670567
9166,0.22548595393529025
9170,0.31108239165161833
9177,0.4064547021998147
9184,0.11569517125970619
9187,0.15984380035320356
9188,0.23030729893877033
9197,0.40849027040331765
9215,0.2499634030261101
9252,0.18968697953464975
9256,0.40109465797458743
9261,0.37461521123226016
9263,0.4081983911268088
9270,0.3152486390551016
9271,0.30774561861060024
9281,0.3020322390690727
9284,0.580048993379926
9291,0.10245950558539296
9321,0.26345587800398373
9323,0.35295889855453144
9324,0.41334287596999053
