ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
9836;PEÑA, LA;1;SALTO DE RESERVA ENTRE EL 30/09/2010 Y 01/10/2010                                                                       ;22173;209;686514;4695061;686514;4695061;-4404;422305;-4408;422301;0;539;9322;58;72;686407;4694851;E036
9837;ARDISA;1;LOS DATOS DE 2004-05 Y 2005-06 SON PROVISIONALES SUJETOS A REVISION                                                     ;50033;247;685561;4672672;685561;4672672;-4511;421100;-4516;421056;0;421.6;9322;59;73;685453;4672462;E037
9838;SOTONERA, LA;1;LOS DATOS DE 2001-02 Y 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                     ;22014;285;692571;4664203;692571;4664203;-4016;420620;-4020;420616;420.5;417;9325;63;77;692463;4663993;E038
9839;NAVAS, LAS;1;LOS DATOS DE 2003-04 SON PROVISIONALES SUJETOS A REVISION                                                               ;22149;247;694513;4683926;694513;4683926;-3828;421657;-3832;421653;648.4;647.4;9995;26;41;694406;4683716;E039
9840;LANUZA;1;LOS DATOS DE 2002-03, 2004-05 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                            ;22204;145;719882;4736789;719882;4736789;-1848;424505;-1852;424501;1284.5;1283.5;9294;39;39;719775;4736579;E040
9841;VADIELLO;1;LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ;22150;248;724644;4680366;724644;4680366;-1638;421433;-1643;421429;746;746;9616;39;40;724537;4680156;E041
9842;SANTA MARIA DE BELSUE;1;;22163;248;718752;4686962;718752;4686962;-2046;421812;-2051;421808;894.4;894.4;9620;22;24;718645;4686752;
9843;GUIAMETS;1;LOS DATOS DE 2007-08, 2009-10 Y 2011-12 SON PROVISIONALES SUJETOS A REVISION                                            ;43070;471;311179;4552370;815086;4556720;4506;410560;4502;410556;;184.9;9656;42;42;814977;4556510;E043
9844;ARGUIS;1;;22037;248;712051;4686957;712051;4686957;-2539;421819;-2543;421815;0;960;9621;10;11;711944;4686747;E044
9845;PINETA;0;INT 1993                                                                                                                ;22057;179;270663;4724283;762631;4725465;1211;423810;1206;423806;1141.8;1141.3;9540;36;46;762524;4725255;
9846;MEDIANO;1;LOS DATOS DE 2004-05 SON PROVISIONALES SUJETOS A REVISION                                                               ;22113;250;270210;4688532;764707;4689764;1243;421852;1238;421848;528.7;528;9570;51;51;764600;4689553;E046
9847;GRADO I;1;LOS DATOS DE 2004-05, 2007-08 Y 2009-10 SON PROVISIONALES SUJETOS A REVISION                                            ;22115;288;271574;4670457;767340;4671826;1408;420908;1403;420904;450.7;450;9574;55;55;767232;4671615;E047
9848;BARASONA-JOAQUIN COSTA;1;LOS DATOS DE 2004-05 Y 2005-06 SON PROVISIONALES SUJETOS A REVISION                                                     ;22117;288;277805;4667265;773781;4669078;1843;420731;1838;420727;447.7;447.6;9597;63;77;773673;4668867;E048
9849;PLANDESCUN;0;INT 1993                                                                                                                ;22182;179;278562;4716773;771044;4718532;1808;423415;1803;423411;1050.7;1049.6;9545;36;45;770937;4718321;
9850;ESCALES;1;LOS DATOS DE 2001-02 A 2005-06 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                           ;22223;251;314214;4688664;808613;4692999;4443;421938;4439;421934;821;821;9528;61;61;808505;4692788;E050
9851;CANELLES;1;LOS DATOS DE 2001-02 A 2005-06 Y 2007-08 SON PROVISIONALES SUJETOS A REVISION                                           ;22105;327;302185;4650115;799316;4653673;3645;415839;3641;415835;506;506;9536;53;53;799208;4653462;E051
9852;SANTA ANA;1;LOS DATOS DE 2007-08 SON PROVISIONALES SUJETOS A REVISION                                                               ;22089;327;299349;4639787;797208;4643166;3454;415302;3450;415258;378.7;378.7;9536;60;60;797100;4642955;E052
9853;VALLE DE ARAN (SISTEMA);0;INT 1995                                                                                                                ;25025;181;1317383;4767711;825042;4726947;5748;423732;5744;423728;0;0;9664;38;39;824934;4726736;
9854;CAPDELLA (SISTEMA);0;INT 1995                                                                                                                ;25227;181;333759;4711221;826531;4716901;5833;423205;5828;423201;0;0;9483;38;39;826423;4716690;
9855;ESPOT (SISTEMA);0;INT 1978                                                                                                                ;25082;181;339365;4711365;832119;4717442;10238;423214;10234;423210;0;0;9465;19;19;832011;4717231;
9856;BOREN-ESTERRI;0;INT 1995                                                                                                                ;25024;181;343462;4724343;835289;4730691;10525;423918;10520;423914;0;1096;9458;36;37;835181;4730480;
9857;TORRASA, LA;0;INT 1995                                                                                                                ;25082;181;347660;4715588;840102;4722247;10838;423437;10833;423433;0;936;9466;35;36;839994;4722036;
9858;TALARN O TREMP;1;LOS DATOS DE 2001-02 A 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                  ;25215;252;327712;4672059;823259;4677372;5450;421051;5445;421048;501;500.9;9490;63;77;823151;4677161;E058
9859;TERRADETS;1;LOS DATOS DE 2001-02 A 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES SUJETOS A REVISION                                  ;25128;290;1319328;4703005;822402;4662713;5344;420259;5339;420255;0;372;9496;63;77;822294;4662502;E059
9860;CAMARASA;1;LOS DATOS DE 2001-02 A 2010-11 ESTAN PENDIENTES DE REVISION                                                             ;25062;328;1320561;4687348;822525;4647117;5318;415434;5314;415430;336;336.2;9496;63;77;822417;4646906;E060
9861;SAN LORENZO MONGAY;1;LOS DATOS DE 2009-10 ESTAN EN PENDIENTES DE REVISION                                                                    ;25062;328;320451;4635912;818545;4640773;5014;415114;5009;415111;257;247.2;9497;59;72;818437;4640562;E061
