gauge_id,gauge_name,gauge_lon,gauge_lat,country,area
1080,ANDOAIN,-2.0135,43.1342,Spain,781.6543052940585
1103,ALZOLA,-2.2404,43.1346,Spain,457.8939941705934
1105,EREÑOZU,-1.563,43.1437,Spain,215.35405311909872
1106,ENDARLAZA,-1.4347,43.1742,Spain,654.2901759540806
1109,ECHABE,-2.1404,43.1601,Spain,307.0249776075006
1163,LEMONA (IBAIZABAL),-2.4518,43.1242,Spain,251.7710872156202
1265,OJEDO,-4.3645,43.0942,Spain,294.5194951609725
1268,PUENTELLES,-4.3626,43.1902,Spain,649.366903463531
1295,CANGAS DE ONIS,-5.0756,43.2102,Spain,479.67863070033286
1302,OZANES,-5.1104,43.2201,Spain,484.17382447026
1343,SAN CUCAO,-5.5335,43.2505,Spain,315.7619559339524
1353,CORIAS,-6.3245,43.1135,Spain,529.0231562500587
1363,VEGA DEL REY,-5.4859,43.0712,Spain,234.97588376819635
1365,MOREDA,-5.4351,43.1002,Spain,266.4924779289017
1369,PARTEAYER,-5.5233,43.17,Spain,903.773634363448
1378,GRADO,-6.0359,43.2318,Spain,212.44622861284512
1395,TREVIAS,-6.2611,43.3006,Spain,412.07172930681895
1404,SAN ANTOLIN,-6.5231,43.032,Spain,302.79343536786
1414,SUEIRO,-6.5235,43.3143,Spain,132.53960475897549
1424,RIBEIRA DE PIQUIN,-7.1157,43.1046,Spain,347.39152706184024
1427,SAN TIRSO DE ABRES,-7.0838,43.2448,Spain,712.1608555304795
1431,MASMA,-7.2009,43.2836,Spain,144.9668651752648
1433,SAN ACISCLO,-7.224,43.3325,Spain,162.8808689793995
1438,CHAVIN,-7.3529,43.3706,Spain,198.65703359171135
1441,"MORGALLON, O",-7.414,43.4209,Spain,181.5990072630733
1443,SANTA MARIA DE MERA,-7.5432,43.3822,Spain,110.69471512732451
1464,MUÑIFERAL,-8.0323,43.1454,Spain,246.2496191894244
1485,ANLLONS,-8.5313,43.134,Spain,433.8893866393397
1512,A PONTE DE TRUEBE,-8.5323,42.5946,Spain,201.15992330825532
1520,CAROLLO,-8.2401,42.5832,Spain,559.2319606372608
1522,VILACIDE DE ARRIBA,-8.272,42.5927,Spain,320.13203763805626
1540,VIDALOISO (BASTABALES),-8.3855,42.4949,Spain,139.6375360462251
1542,PUENTE BARAZON,-8.0114,42.5129,Spain,150.7643893396587
1544,A PONTE NOVA,-8.0131,42.5048,Spain,521.1521532578075
1546,PONTE CIRELA,-8.0607,42.464,Spain,331.0511178404918
1552,PUENTE CIRA,-8.2015,42.4638,Spain,543.2970407821155
1578,"COUSO, O",-8.3651,42.2708,Spain,406.5045189978201
1585,PONTECALDELAS,-8.3001,42.2325,Spain,102.02431548084694
1605,PONTEVILAR,-7.3252,43.1005,Spain,638.7523375711281
1619,BEGONTE,-7.4124,43.0855,Spain,838.6013753939361
1620,GONDAY,-7.3848,43.04,Spain,191.19634997484349
1622,LUGO,-7.3515,43.0129,Spain,2203.774566653396
1624,"PARAMO, EL",-7.3139,42.5219,Spain,829.8806456632906
1638,CARBALLINO,-8.0453,42.2612,Spain,132.77271409463611
1647,TUY,-8.381,42.0359,Spain,146.52681403548664
1659,ARNOYA,-8.0815,42.1506,Spain,734.7378068994753
1715,BOEZA,-6.1733,42.4106,Spain,105.80981649135848
1721,CACABELOS,-6.4337,42.3559,Spain,540.5856405489537
1723,FABERO,-6.3854,42.4528,Spain,218.14411187206807
1725,VEGUELLINA,-6.4645,42.4229,Spain,117.65447965661323
1726,VILLAFRANCA DEL BIERZO,-6.4902,42.3621,Spain,432.44943080020704
1728,REQUEJO,-6.4926,42.3031,Spain,3097.2427694061644
1729,OENCIA,-6.5724,42.3201,Spain,111.84996750089998
1734,PUENTE DE DOMINGO FLOREZ,-6.4838,42.2453,Spain,556.792822265909
1753,PARADA,-7.205,42.2743,Spain,365.799173909781
1765,RIVAS ALTAS,-7.2842,42.3318,Spain,354.10512444701567
1823,BOUZA DO VISO,-8.3024,42.0615,Spain,399.1930278932125
1824,GUNTIN,-7.422,42.5305,Spain,165.1582457001432
1829,PUENTE FREIJO,-7.5812,42.1204,Spain,530.8788262125581
2000,VINUESA,-2.4527,41.5441,Spain,103.62727674196842
2005,OSMA,-3.0502,41.3432,Spain,895.1191410755607
2012,SEPULVEDA,-3.4416,41.1802,Spain,466.93831887414274
2013,ARANDA DE DUERO,-3.405,41.3914,Spain,7435.843509419599
2015,HERRERA DE DUERO,-4.3959,41.3354,Spain,12721.638420635794
2016,PAJARES DE PEDRAZA,-3.5117,41.1002,Spain,281.2343762173682
2017,NAVAPALOS,-3.0611,41.3028,Spain,6390.253495488275
2025,VILLANUEVA DE LOS INFANTES,-4.2852,41.4203,Spain,855.4431758912264
2026,ABIA DE LAS TORRES,-4.2507,42.2524,Spain,637.6873358959995
2028,SALAS DE LOS INFANTES,-3.164,42.0204,Spain,357.47384504810265
2029,CORDOVILLA,-4.1458,42.075,Spain,4213.031103399438
2030,COVARRUBIAS,-3.3031,42.0314,Spain,1204.1213916067286
2031,PERAL DE ARLANZA,-4.0446,42.0444,Spain,2406.7178141768554
2036,QUINTANA DEL PUENTE,-4.1426,42.0322,Spain,5196.390795197529
2041,VILLALCAZAR DE SIRGA,-4.3126,42.192,Spain,318.5467608503052
2043,CABEZON DE PISUERGA,-4.3821,41.4428,Spain,14241.592313981808
2046,AVILA,-4.4226,40.3859,Spain,762.0691819399357
2047,MEDIANA DE VOLTOYA,-4.3221,40.4301,Spain,131.0973060945476
2048,OLMEDO,-4.3712,41.1929,Spain,2684.751638517387
2049,CABAÑES DE ESGUEVA,-3.4726,41.4947,Spain,269.6622690429381
2050,SEGOVIA,-4.0847,40.5707,Spain,245.6866780066543
2053,BERNARDOS,-4.2041,41.0921,Spain,1449.935162643343
2054,SAN MIGUEL DEL PINO,-4.555,41.3015,Spain,36596.009997975234
2055,SAN RAFAEL,-4.1433,40.4623,Spain,174.6855652546517
2056,VALDESTILLAS,-4.4612,41.2925,Spain,5249.9103871862335
2057,VILLOVELA DE PIRON,-4.0728,41.0647,Spain,200.31204445408343
2060,CEBRONES DEL RIO,-5.4945,42.1454,Spain,3208.7091545646736
2061,SANTA MARINA DEL REY,-5.5242,42.302,Spain,1518.1805842095064
2062,TORO-DUERO,-5.2446,41.3054,Spain,41660.68809897822
2074,CASTROPEPE,-5.3812,41.5827,Spain,6786.3874221642445
2081,PUENTE CONGOSTO,-5.3148,40.3012,Spain,1482.6032753858256
2082,MORALES DEL REY,-5.454,42.0328,Spain,636.4312415841196
2089,MORLA DE LA VALDERIA,-6.1509,42.1321,Spain,280.90505055203704
2095,BRETO,-5.4556,41.522,Spain,14381.006493791296
2098,VILLAMANIN,-5.3928,42.5606,Spain,130.0685342016928
2101,MOLINOS DE DUERO,-2.4709,41.532,Spain,133.2646866205151
2104,VILLAVERDE DE ARCAYOS,-5.0219,42.3648,Spain,454.200271789947
2105,SANTERVAS DE CAMPOS,-5.0548,42.1257,Spain,278.30897973791303
2113,STA. EULALIA DE RIONEGRO,-6.16,42.021,Spain,375.86293656707113
2114,COCA-VOLTOYA,-4.3154,41.1238,Spain,1009.2760601019924
2115,LEON,-5.3442,42.3537,Spain,538.6089774788583
2116,CELADA DEL CAMINO,-3.5541,42.1519,Spain,1766.1379114751817
2121,ZAMORA,-5.4321,41.3043,Spain,46161.76872241548
2125,SOTOPALACIOS,-3.4057,42.2524,Spain,289.94914457946805
2126,VILLARDIGA,-5.2955,41.462,Spain,1327.53545728668
2131,VILLAESCUSA DE LAS TORRES,-4.1448,42.4551,Spain,376.56413942120247
2132,QUINTANILLA DE ONESIMO,-4.2141,41.3742,Spain,12157.16172547113
2138,CASTRO DE LA LOMBA,-5.5724,42.4605,Spain,275.81795367639666
2139,BURGOS-ARLANZON,-3.4414,42.2053,Spain,681.9244509362777
2141,PINILLA DE LOS MOROS,-3.194,42.0354,Spain,286.4315110718791
2143,CASTROBOL,-5.1614,42.1013,Spain,1441.445307887364
2144,CERNADILLA (EMBALSE),-6.3758,42.0317,Spain,426.1869907064176
2145,MANGANESES DE LA POLVOROSA,-5.4426,42.0218,Spain,4393.472609286787
2147,AMBASAGUAS,-5.2239,42.4232,Spain,283.9270753621464
2150,PARDAVE,-5.3028,42.4925,Spain,256.8949107541771
2156,SAN FELIX DE LA VEGA,-5.5709,42.24,Spain,775.176067406656
2163,ALMAZAN,-2.3037,41.2959,Spain,2889.806181219029
2711,BENAMARIEL-2,-5.3353,42.22,Spain,3953.742203510808
2712,ALCONADA,-5.2145,40.5452,Spain,440.8859401930473
2713,SANTIAGO DE LA VALDUERNA,-5.5531,42.1837,Spain,306.48185056662135
2714,LASTRAS DE CUELLAR,-4.0909,41.1727,Spain,633.5779908324674
2716,CAMARZANA-REGATO,-6.0105,41.5954,Spain,256.1873127234574
2717,VILLAVEZA DE VALVERDE,-5.5053,41.5657,Spain,185.058401629284
2818,RABAL,-7.2607,41.5055,Spain,724.8373916961316
3001,PERALEJOS DE LAS TRUCHAS,-1.5555,40.3539,Spain,410.8157887243936
3005,TRILLO,-2.3509,40.4146,Spain,3279.6420931218468
3012,"PORTUSA, LA",-4.1149,39.5147,Spain,27127.0789523139
3014,PUENTE ALGODOR,-3.5216,39.5518,Spain,23042.67805486559
3030,VENTOSA,-1.5755,40.4945,Spain,940.8569519618084
3040,SANTA MARIA DEL VAL,-2.0151,40.2947,Spain,115.15829086012523
3045,PRIEGO (ESCABAS),-2.1841,40.2637,Spain,329.49402015176435
3049,MATALLANA,-3.1951,41.0311,Spain,252.44045836046004
3051,ALGETE,-3.33,40.3513,Spain,2459.985519336438
3052,MEJORADA DEL CAMPO,-3.3034,40.2343,Spain,6913.143410567117
3062,ESPINILLOS,-3.2518,40.2736,Spain,3946.7896297126695
3100,VILLALBA,-4.0021,40.3741,Spain,232.5978672875003
3103,BATRES,-3.5644,40.1311,Spain,943.8399014057158
3144,"VILLAR, EL",-6.0612,40.1014,Spain,389.9135767038002
3146,"TORNO, EL",-5.5645,40.0641,Spain,314.2778902230889
3161,ARENAS DE SAN PEDRO,-5.0244,40.0905,Spain,785.4982499303741
3163,PIEDRAS ALBAS,-6.5901,39.4854,Spain,982.1510657095882
3165,VALVERDE DE LOS ARROYOS,-3.1138,41.0806,Spain,279.6506027073989
3168,MONROY,-5.5734,39.3948,Spain,780.1895606981316
3169,MEMBRIO,-6.595,39.3427,Spain,1966.0721507416065
3174,PUENTE TITULCIA,-3.3451,40.0812,Spain,8793.558537665913
3175,ARANJUEZ (P.LARGO),-3.3631,40.0503,Spain,11532.660864270609
3180,SAN MARTIN DE VALDEIGLESIAS,-4.1921,40.2441,Spain,632.8070162119355
3182,GARCIBUEY,-5.5647,40.3006,Spain,372.5336261441016
3184,"BAZAGONA, LA",-5.5417,39.5559,Spain,4041.617059389904
3186,PRIEGO-TRABAQUE,-2.1935,40.2529,Spain,388.787674078938
3193,TOROTE,-3.2513,40.281,Spain,255.94297091974707
3198,VILLAMANTILLA,-4.0812,40.2211,Spain,261.7865725504186
3200,SOTOSERRANO,-6.0051,40.2528,Spain,236.5703679707555
3211,VILLAREJO DE MONTALBAN,-4.3401,39.4616,Spain,136.19444510983433
3212,MALPICA,-4.3455,39.5506,Spain,410.8663679667279
3213,ALCAUDETE DE LA JARA,-4.5049,39.462,Spain,188.5369935620612
3217,HORCAJO DE MONTEMAYOR,-5.5338,40.2534,Spain,176.87788495315982
3218,MIRANDA DEL CASTAÑAR,-6.0024,40.2907,Spain,102.4454668837767
3220,SANTA MARTA DE MAGASCA,-6.0658,39.3003,Spain,457.8011449712841
3221,BOHONAL DE IBOR,-5.3111,39.4618,Spain,267.4268786910025
3222,PERALEDA DE SAN ROMAN,-5.2511,39.4538,Spain,191.5097880444652
3231,NAVALUENGA,-4.4216,40.2427,Spain,697.1931673216567
